Date,Open,High,Low,Close,Volume
12/31/2018,"114.33","114.60","111.53","112.65","1,162,461"
12/28/2018,"114.07","114.99","112.51","113.29","1,364,838"
12/27/2018,"112.27","114.48","110.55","114.37","1,347,862"
12/26/2018,"109.81","114.40","108.64","114.20","1,903,223"
12/24/2018,"109.71","110.59","108.41","109.10","718,892"
12/21/2018,"114.19","115.38","109.93","110.15","2,916,505"
12/20/2018,"115.00","115.84","112.68","114.31","1,625,321"
12/19/2018,"118.58","120.96","114.12","115.15","2,155,625"
12/18/2018,"117.84","119.52","117.11","118.26","1,171,392"
12/17/2018,"117.67","119.25","115.65","116.93","1,531,425"
12/14/2018,"118.55","119.37","117.54","118.36","986,324"
12/13/2018,"121.42","122.12","118.40","119.59","1,161,450"
12/12/2018,"119.80","122.76","119.80","121.10","1,400,988"
12/11/2018,"120.56","121.71","118.14","118.35","1,576,805"
12/10/2018,"118.01","119.69","117.17","118.78","1,570,714"
12/07/2018,"120.43","121.57","117.13","118.24","1,888,830"
12/06/2018,"116.62","120.75","116.07","120.65","1,519,917"
12/04/2018,"120.14","121.93","118.47","118.78","1,520,750"
12/03/2018,"123.30","123.57","120.03","120.65","1,368,096"
11/30/2018,"120.16","121.94","120.00","120.79","1,316,070"
11/29/2018,"119.40","120.35","118.87","119.74","1,109,327"
11/28/2018,"118.00","120.53","116.97","120.16","1,286,527"
11/27/2018,"115.71","117.89","115.36","117.54","981,827"
11/26/2018,"115.10","117.00","114.62","116.58","1,272,049"
11/23/2018,"112.60","113.72","112.02","113.14","573,524"
11/21/2018,"112.47","114.93","112.47","113.09","1,421,208"
11/20/2018,"111.05","112.87","110.26","111.62","1,983,751"
11/19/2018,"117.23","117.39","112.54","113.10","2,037,501"
11/16/2018,"118.65","120.99","115.56","116.95","2,373,234"
11/15/2018,"121.01","121.94","117.89","119.75","2,799,592"
11/14/2018,"123.01","125.18","121.41","121.93","1,597,976"
11/13/2018,"122.97","124.35","121.48","122.38","1,210,200"
11/12/2018,"123.87","124.26","121.84","122.25","1,562,531"
11/09/2018,"124.95","125.97","123.81","124.04","1,676,183"
11/08/2018,"128.25","128.69","124.72","125.43","1,678,625"
11/07/2018,"126.53","128.68","126.31","128.38","1,839,759"
11/06/2018,"126.22","127.89","124.61","125.03","2,118,288"
11/05/2018,"126.59","127.60","125.04","126.89","1,750,605"
11/02/2018,"128.28","128.85","125.41","126.51","1,612,280"
11/01/2018,"125.66","127.86","124.57","127.62","1,912,530"
10/31/2018,"125.87","126.73","125.15","125.43","2,391,783"
10/30/2018,"121.28","125.03","120.15","124.49","2,452,536"
