Date,Open,High,Low,Close,Volume
12/31/2019,"107.62","108.28","107.30","108.14","1,824,602"
12/30/2019,"108.20","108.76","107.61","107.77","1,555,610"
12/27/2019,"109.24","109.57","108.28","108.32","1,647,050"
12/26/2019,"108.75","109.50","108.73","109.07","1,847,905"
12/24/2019,"108.37","109.29","108.02","108.77","1,684,733"
12/23/2019,"110.24","110.56","107.96","108.00","2,543,423"
12/20/2019,"109.13","110.95","108.01","110.08","5,049,587"
12/19/2019,"110.39","111.01","108.90","109.10","3,695,012"
12/18/2019,"111.55","111.64","110.13","110.50","3,007,036"
12/17/2019,"114.10","114.20","111.07","111.51","3,523,893"
12/16/2019,"113.60","114.52","113.51","114.23","2,273,026"
12/13/2019,"113.61","114.55","112.72","112.76","2,048,982"
12/12/2019,"112.44","113.96","112.40","113.50","2,347,045"
12/11/2019,"111.85","112.45","110.84","111.96","2,505,725"
12/10/2019,"109.62","113.17","109.11","111.85","4,828,510"
12/09/2019,"108.36","109.44","107.65","108.80","2,926,363"
12/06/2019,"107.05","109.08","106.67","107.58","4,764,992"
12/05/2019,"105.06","106.99","104.24","105.68","5,457,435"
12/04/2019,"106.10","109.32","102.60","105.56","16,734,570"
12/03/2019,"99.77","99.93","99.18","99.39","2,368,703"
12/02/2019,"101.53","101.66","99.88","100.75","2,958,267"
11/29/2019,"101.92","102.87","101.38","101.66","1,759,797"
11/27/2019,"99.30","102.15","99.30","101.51","2,720,945"
11/26/2019,"98.83","99.91","98.67","99.30","2,873,151"
11/25/2019,"97.41","98.98","97.26","98.43","2,842,851"
11/22/2019,"94.82","96.82","94.69","96.63","2,782,817"
11/21/2019,"94.63","95.18","94.14","94.70","2,572,621"
11/20/2019,"94.46","95.05","93.88","94.31","2,388,699"
11/19/2019,"95.25","95.27","93.53","94.88","3,096,752"
11/18/2019,"95.60","96.15","94.91","95.14","3,256,653"
11/15/2019,"96.01","96.23","95.14","95.67","2,936,403"
11/14/2019,"95.33","95.78","94.10","95.58","3,486,770"
11/13/2019,"96.04","97.70","95.30","95.60","3,437,494"
11/12/2019,"98.62","98.69","95.62","95.66","7,979,092"
11/11/2019,"100.96","100.97","98.52","99.07","5,833,540"
11/08/2019,"99.24","101.99","99.07","101.32","10,008,960"
11/07/2019,"115.15","115.43","97.05","98.29","30,819,859"
11/06/2019,"135.43","136.65","134.27","135.36","3,347,868"
11/05/2019,"135.05","137.15","134.67","135.02","1,916,310"
11/04/2019,"138.72","138.72","135.01","135.20","1,969,672"
11/01/2019,"137.48","138.19","136.93","137.80","1,661,639"
10/31/2019,"136.16","137.22","134.96","136.66","1,156,894"
10/30/2019,"136.99","137.10","135.62","136.45","971,001"
10/29/2019,"137.98","138.04","136.02","137.15","1,089,445"
10/28/2019,"137.11","138.90","137.06","138.09","949,636"
10/25/2019,"136.94","138.43","135.76","137.06","2,345,726"
10/24/2019,"138.39","139.32","135.53","137.14","2,167,093"
10/23/2019,"136.22","138.31","136.22","138.31","1,136,254"
10/22/2019,"136.77","137.75","136.42","136.65","973,152"
10/21/2019,"136.91","137.75","136.15","136.26","1,022,038"
10/18/2019,"138.22","138.34","135.46","136.03","1,061,889"
10/17/2019,"138.67","138.67","137.02","138.48","718,635"
10/16/2019,"136.88","139.21","136.88","138.26","1,011,881"
10/15/2019,"137.30","137.93","136.33","137.25","984,869"
10/14/2019,"138.11","138.67","136.55","136.71","948,531"
10/11/2019,"137.86","139.88","137.62","138.27","1,305,174"
10/10/2019,"133.38","136.41","133.38","135.99","1,310,616"
10/09/2019,"132.72","133.97","132.44","133.55","798,880"
10/08/2019,"131.40","132.83","130.39","131.55","743,440"
10/07/2019,"132.54","133.07","131.30","132.35","816,301"
10/04/2019,"133.23","133.75","132.63","133.22","899,446"
10/03/2019,"132.62","133.29","131.31","133.25","1,209,528"
10/02/2019,"133.77","134.42","131.74","132.67","1,516,603"
10/01/2019,"134.46","135.29","133.85","133.91","993,732"
09/30/2019,"132.56","135.05","132.56","134.41","1,241,385"
09/27/2019,"133.46","134.00","131.01","132.17","1,302,821"
09/26/2019,"133.03","133.74","131.88","132.87","1,299,852"
09/25/2019,"132.63","134.32","131.57","133.60","1,421,417"
09/24/2019,"133.17","133.77","131.39","132.60","1,842,535"
09/23/2019,"133.79","134.55","131.73","132.37","1,437,334"
09/20/2019,"135.42","135.80","133.35","134.18","2,256,269"
09/19/2019,"134.34","135.98","133.78","134.48","2,015,797"
09/18/2019,"132.28","134.08","132.20","133.81","1,765,212"
09/17/2019,"131.38","132.90","130.23","132.69","1,414,163"
09/16/2019,"131.54","132.03","129.85","131.28","1,272,576"
09/13/2019,"132.67","133.02","131.74","132.30","1,074,859"
09/12/2019,"130.90","132.28","130.58","131.65","1,216,688"
09/11/2019,"129.60","130.61","128.95","130.55","1,250,281"
09/10/2019,"131.21","131.21","128.23","130.17","1,789,073"
09/09/2019,"130.49","131.52","129.77","131.21","1,772,703"
09/06/2019,"131.52","133.81","131.36","131.71","1,406,741"
09/05/2019,"130.47","131.99","129.54","131.55","1,387,887"
09/04/2019,"129.72","130.07","127.98","128.70","1,049,455"
09/03/2019,"129.06","130.38","128.10","128.78","1,052,465"
08/30/2019,"130.83","131.37","129.54","130.10","760,751"
08/29/2019,"130.69","131.74","129.66","130.01","1,346,264"
08/28/2019,"127.57","129.91","127.04","129.38","993,601"
08/27/2019,"128.91","129.69","127.46","128.46","1,358,748"
08/26/2019,"128.65","128.66","127.44","128.50","1,040,068"
08/23/2019,"129.74","130.54","127.00","127.52","1,363,194"
08/22/2019,"131.06","131.65","129.19","130.77","1,047,989"
08/21/2019,"131.39","131.54","130.16","130.89","1,005,043"
08/20/2019,"130.20","131.17","129.98","130.62","1,099,430"
08/19/2019,"129.98","131.11","129.13","130.80","2,582,000"
08/16/2019,"127.51","128.66","126.89","128.60","1,067,583"
08/15/2019,"127.16","127.70","126.00","126.80","1,391,027"
08/14/2019,"127.94","128.30","125.46","126.65","2,121,560"
08/13/2019,"128.29","130.50","128.01","129.15","1,361,546"
08/12/2019,"128.17","128.56","127.24","128.02","1,387,787"
08/09/2019,"129.92","130.70","128.01","128.92","1,627,312"
08/08/2019,"128.35","131.34","127.31","130.47","1,963,791"
08/07/2019,"125.54","127.45","124.70","127.17","1,740,693"
08/06/2019,"127.32","128.14","125.92","127.06","1,472,096"
08/05/2019,"126.90","128.28","125.47","126.50","1,715,992"
08/02/2019,"130.59","132.03","128.89","129.17","2,430,530"
08/01/2019,"132.91","133.48","130.57","131.41","2,839,091"
07/31/2019,"137.29","137.29","131.30","132.74","2,543,823"
07/30/2019,"136.54","137.08","133.69","135.25","2,853,634"
07/29/2019,"138.90","139.98","137.27","138.71","2,162,023"
07/26/2019,"140.98","144.00","138.73","139.42","9,142,913"
07/25/2019,"138.41","139.49","137.77","138.21","2,320,625"
07/24/2019,"136.81","138.44","136.02","137.82","1,832,146"
07/23/2019,"136.50","137.63","135.99","137.31","1,239,923"
07/22/2019,"134.82","136.74","134.50","136.02","1,717,354"
07/19/2019,"136.50","137.38","135.06","135.10","1,554,672"
07/18/2019,"134.13","137.14","134.12","136.47","1,459,863"
07/17/2019,"136.14","137.16","135.11","135.14","1,229,794"
07/16/2019,"135.00","136.54","134.60","136.37","1,314,585"
07/15/2019,"135.00","135.20","133.90","134.74","1,472,977"
07/12/2019,"134.11","134.76","133.71","134.58","1,044,825"
07/11/2019,"133.33","133.99","132.87","133.94","994,857"
07/10/2019,"133.83","134.49","132.77","133.30","1,143,600"
07/09/2019,"132.16","133.71","132.16","133.45","827,152"
07/08/2019,"134.58","135.03","132.13","132.48","1,127,719"
07/05/2019,"134.16","135.17","132.92","135.12","736,356"
07/03/2019,"134.09","135.00","133.06","134.88","733,550"
07/02/2019,"133.23","134.05","132.32","134.01","1,047,508"
07/01/2019,"133.95","134.20","132.12","133.24","1,282,311"
06/28/2019,"130.39","133.29","130.34","133.03","1,710,069"
06/27/2019,"128.39","130.32","127.95","130.14","1,029,461"
06/26/2019,"130.04","130.71","127.52","127.66","1,502,381"
06/25/2019,"130.82","131.60","129.69","129.75","1,007,880"
06/24/2019,"131.00","131.95","130.12","130.23","1,047,418"
06/21/2019,"129.68","131.14","128.65","130.48","1,731,209"
06/20/2019,"130.00","130.80","129.07","129.60","1,305,135"
06/19/2019,"127.34","129.94","126.95","129.64","1,692,087"
06/18/2019,"127.69","129.17","127.37","127.59","1,308,603"
06/17/2019,"126.63","128.40","126.12","127.06","1,357,905"
06/14/2019,"125.79","127.84","124.92","126.81","1,632,481"
06/13/2019,"124.91","126.34","124.48","125.63","1,308,994"
06/12/2019,"122.89","124.51","122.35","124.22","1,213,229"
06/11/2019,"122.51","124.16","122.50","123.06","1,376,894"
06/10/2019,"123.20","124.49","121.54","121.75","1,468,170"
06/07/2019,"120.88","122.94","120.56","122.60","1,384,676"
06/06/2019,"121.00","122.23","119.43","120.52","1,949,210"
06/05/2019,"120.20","120.62","118.78","120.57","1,543,899"
06/04/2019,"117.01","120.40","117.01","120.15","2,118,113"
06/03/2019,"114.62","116.92","114.62","116.17","1,738,333"
05/31/2019,"115.17","116.14","114.86","115.00","1,422,800"
05/30/2019,"116.11","116.81","115.70","116.10","1,381,714"
05/29/2019,"115.44","116.50","115.17","116.02","1,460,167"
05/28/2019,"116.04","117.22","115.63","115.99","1,588,725"
05/24/2019,"117.00","117.74","115.69","115.92","1,416,762"
05/23/2019,"114.58","117.39","114.58","116.44","1,417,261"
05/22/2019,"116.26","117.75","116.26","116.71","1,029,915"
05/21/2019,"117.25","117.91","116.38","117.48","1,450,744"
05/20/2019,"115.24","116.97","114.48","116.48","2,485,790"
05/17/2019,"117.75","118.22","116.02","116.26","1,793,147"
05/16/2019,"119.33","120.44","118.00","118.17","2,238,671"
05/15/2019,"118.70","120.95","118.32","119.14","1,724,499"
05/14/2019,"117.55","119.92","117.05","119.56","2,271,161"
05/13/2019,"116.17","117.03","115.07","116.77","2,155,063"
05/10/2019,"120.23","120.62","117.20","118.76","2,343,018"
05/09/2019,"120.06","120.87","118.27","119.30","1,550,804"
05/08/2019,"122.23","122.80","120.60","121.87","1,574,606"
05/07/2019,"123.10","125.34","122.47","122.87","2,425,188"
05/06/2019,"124.52","125.94","123.45","124.09","1,889,226"
05/03/2019,"124.39","127.18","123.00","127.10","3,869,929"
05/02/2019,"128.56","128.93","126.47","128.23","2,238,317"
05/01/2019,"130.03","131.71","128.69","128.81","1,604,177"
04/30/2019,"129.39","130.10","128.66","129.84","1,800,032"
04/29/2019,"127.61","130.64","127.59","129.98","1,791,520"
04/26/2019,"125.89","129.20","125.32","127.76","1,850,125"
04/25/2019,"124.62","126.39","123.96","125.22","1,328,220"
04/24/2019,"126.00","126.50","124.31","124.49","1,253,065"
04/23/2019,"124.45","126.48","124.10","125.88","1,631,564"
04/22/2019,"124.34","124.76","123.78","124.35","1,591,173"
04/18/2019,"125.17","125.17","123.68","124.51","1,154,739"
04/17/2019,"126.59","127.06","123.15","124.82","1,985,379"
04/16/2019,"127.96","128.24","125.79","125.99","2,014,434"
04/15/2019,"126.19","126.19","124.28","125.45","869,209"
04/12/2019,"125.10","126.29","124.75","125.79","1,066,527"
04/11/2019,"124.47","125.00","123.94","124.59","687,419"
04/10/2019,"123.85","124.35","122.15","124.16","752,723"
04/09/2019,"123.11","124.25","122.54","123.94","908,595"
04/08/2019,"122.25","123.32","122.09","123.21","1,435,908"
04/05/2019,"123.16","124.09","122.17","122.50","1,080,530"
04/04/2019,"122.23","123.07","121.69","122.55","794,475"
04/03/2019,"121.50","122.46","121.05","122.07","1,962,134"
04/02/2019,"120.00","121.04","119.85","120.44","1,953,088"
04/01/2019,"120.55","120.81","119.78","120.25","2,331,567"
03/29/2019,"119.85","120.74","118.93","119.00","1,688,806"
03/28/2019,"120.02","120.25","117.97","119.06","1,380,375"
03/27/2019,"122.63","122.63","119.52","119.80","1,860,561"
03/26/2019,"123.17","124.42","122.04","122.10","2,181,426"
03/25/2019,"120.93","122.46","120.00","122.08","1,024,463"
03/22/2019,"123.70","124.28","121.56","121.64","1,219,662"
03/21/2019,"122.49","124.27","122.04","124.10","890,327"
03/20/2019,"122.55","123.03","121.35","122.47","1,122,204"
03/19/2019,"121.43","123.39","121.15","122.24","1,339,938"
03/18/2019,"121.45","122.30","120.88","121.15","1,857,571"
03/15/2019,"121.33","122.29","121.05","121.56","1,842,809"
03/14/2019,"121.02","121.41","120.14","120.80","1,088,559"
03/13/2019,"120.52","121.43","119.53","120.48","1,284,762"
03/12/2019,"121.98","122.29","119.28","120.55","1,534,370"
03/11/2019,"122.06","122.07","120.33","121.87","1,633,576"
03/08/2019,"121.77","122.47","120.71","121.36","1,242,521"
03/07/2019,"125.00","125.43","122.47","123.16","1,912,690"
03/06/2019,"125.93","127.50","124.63","125.28","1,363,115"
03/05/2019,"125.06","126.50","124.21","125.97","1,234,952"
03/04/2019,"126.04","126.45","123.62","125.00","1,262,664"
03/01/2019,"125.18","125.84","123.98","125.27","1,330,874"
02/28/2019,"126.30","126.92","122.81","123.31","2,602,359"
02/27/2019,"126.90","129.12","126.65","128.20","1,628,627"
02/26/2019,"125.95","128.32","125.46","127.56","1,639,654"
02/25/2019,"127.82","128.23","125.74","126.16","1,443,996"
02/22/2019,"128.28","129.34","126.72","126.98","1,190,805"
02/21/2019,"128.33","128.81","126.61","128.10","1,161,941"
02/20/2019,"128.28","129.67","127.97","128.59","951,576"
02/19/2019,"124.56","128.62","124.31","128.25","1,410,182"
02/15/2019,"127.25","127.84","126.44","127.09","1,488,134"
02/14/2019,"126.08","127.81","125.50","126.76","1,253,364"
02/13/2019,"125.99","127.50","125.08","127.46","1,632,006"
02/12/2019,"127.64","127.85","125.86","126.58","2,603,855"
02/11/2019,"131.00","132.00","126.35","126.63","2,478,961"
02/08/2019,"135.00","135.13","129.06","130.80","5,798,949"
02/07/2019,"127.18","128.41","126.28","127.87","3,283,368"
02/06/2019,"126.60","127.92","125.36","127.88","1,858,398"
02/05/2019,"124.24","127.03","123.93","126.21","2,294,281"
02/04/2019,"121.78","124.57","121.69","123.54","1,812,406"
02/01/2019,"119.52","122.06","119.36","121.97","1,400,743"
01/31/2019,"119.12","120.86","117.94","119.25","1,289,776"
01/30/2019,"117.89","120.09","117.25","119.42","1,114,152"
01/29/2019,"117.00","117.85","115.83","117.08","732,663"
01/28/2019,"115.80","118.16","115.37","117.04","939,588"
01/25/2019,"117.75","118.06","117.00","117.11","1,208,554"
01/24/2019,"116.54","118.28","115.96","117.42","959,698"
01/23/2019,"116.05","117.34","115.07","116.65","1,286,719"
01/22/2019,"117.03","118.01","114.30","115.65","1,241,754"
01/18/2019,"118.00","119.46","115.76","118.48","973,515"
01/17/2019,"115.46","117.48","114.90","116.71","1,208,555"
01/16/2019,"116.70","117.00","115.26","116.00","915,261"
01/15/2019,"115.40","116.91","114.97","116.73","1,324,048"
01/14/2019,"112.85","115.46","112.44","115.21","1,475,641"
01/11/2019,"113.49","114.25","113.07","114.22","1,001,063"
01/10/2019,"113.48","114.77","113.02","114.20","1,506,137"
01/09/2019,"113.66","115.39","111.50","114.62","2,859,041"
01/08/2019,"115.44","117.25","114.41","116.97","1,777,245"
01/07/2019,"112.92","115.25","112.38","114.56","1,232,096"
01/04/2019,"111.04","114.00","110.56","113.09","2,289,302"
01/03/2019,"111.17","112.03","108.11","108.52","1,645,457"
01/02/2019,"110.40","113.00","110.20","111.98","1,235,087"
