Date,Open,High,Low,Close,Volume
12/31/2018,"71.41","72.04","70.77","71.80","2,138,731"
12/28/2018,"70.92","71.82","70.38","70.95","2,165,817"
12/27/2018,"68.62","70.35","67.78","70.33","2,203,325"
12/26/2018,"66.79","69.58","66.28","69.51","2,606,185"
12/24/2018,"66.06","67.80","65.64","66.51","2,015,807"
12/21/2018,"67.89","68.53","65.75","66.47","5,417,270"
12/20/2018,"68.58","69.08","66.52","67.50","4,862,902"
12/19/2018,"70.76","72.11","68.94","69.66","4,020,817"
12/18/2018,"70.79","71.44","70.08","70.49","2,402,018"
12/17/2018,"71.75","72.99","69.86","70.27","4,462,365"
12/14/2018,"71.44","73.01","71.44","71.86","2,524,331"
12/13/2018,"73.23","73.32","72.06","72.22","1,785,473"
12/12/2018,"73.39","74.56","72.71","72.78","2,004,531"
12/11/2018,"74.11","74.42","71.99","72.40","3,296,435"
12/10/2018,"73.01","73.73","71.50","72.67","3,277,965"
12/07/2018,"75.24","75.94","72.38","72.86","3,067,678"
12/06/2018,"73.67","75.63","73.31","75.59","2,342,910"
12/04/2018,"77.58","77.80","74.89","75.15","4,194,166"
12/03/2018,"76.99","78.17","76.65","77.97","2,836,507"
11/30/2018,"75.75","76.37","74.69","75.54","4,767,447"
11/29/2018,"76.83","76.99","75.84","76.46","1,970,295"
11/28/2018,"75.25","77.08","75.01","76.95","4,285,898"
11/27/2018,"74.52","75.88","74.52","75.17","5,549,616"
11/26/2018,"73.86","75.24","73.78","75.09","3,508,382"
11/23/2018,"72.20","73.45","72.20","73.12","1,095,278"
11/21/2018,"71.97","73.27","71.57","72.57","2,499,484"
11/20/2018,"70.17","71.80","69.81","71.49","5,740,090"
11/19/2018,"72.93","73.18","70.63","71.20","4,401,511"
11/16/2018,"72.32","73.34","72.20","73.04","4,737,859"
11/15/2018,"70.53","72.99","70.35","72.89","4,069,783"
11/14/2018,"71.56","72.28","70.79","71.08","3,790,671"
11/13/2018,"70.66","71.80","70.22","70.86","2,346,634"
11/12/2018,"71.16","71.40","70.04","70.19","4,186,283"
11/09/2018,"71.71","72.14","70.76","71.16","3,249,406"
11/08/2018,"72.49","72.76","71.54","72.02","2,369,368"
11/07/2018,"71.13","72.99","71.05","72.97","2,263,317"
11/06/2018,"71.31","71.75","69.55","70.59","3,991,643"
11/05/2018,"72.48","72.65","71.76","72.40","2,633,086"
11/02/2018,"73.16","74.12","72.13","72.82","2,982,284"
11/01/2018,"71.48","72.96","71.23","72.65","3,044,292"
10/31/2018,"69.93","72.42","69.69","71.17","5,039,273"
10/30/2018,"68.60","69.63","67.86","68.70","3,200,491"
10/29/2018,"68.92","70.02","67.68","68.60","6,077,473"
10/26/2018,"67.17","69.58","66.36","68.27","5,634,588"
10/25/2018,"66.75","68.22","66.01","67.55","11,014,310"
10/24/2018,"69.18","70.63","63.76","63.82","13,473,020"
10/23/2018,"68.87","69.45","66.87","68.87","8,984,634"
10/22/2018,"70.62","70.97","70.02","70.16","4,126,144"
10/19/2018,"71.80","72.01","70.50","70.66","7,481,975"
10/18/2018,"74.53","74.53","71.94","72.05","3,723,165"
10/17/2018,"74.48","74.96","73.69","74.52","1,777,682"
10/16/2018,"73.55","74.69","73.01","74.63","1,927,371"
10/15/2018,"73.34","73.62","72.97","72.99","2,993,961"
10/12/2018,"74.24","74.35","72.72","73.62","3,676,409"
10/11/2018,"73.20","73.54","72.07","73.10","5,944,487"
10/10/2018,"74.66","75.20","73.30","73.40","7,380,633"
10/09/2018,"75.00","75.66","74.78","75.23","6,070,661"
10/08/2018,"74.23","75.03","73.62","74.95","5,211,739"
10/05/2018,"75.46","75.79","73.52","74.38","3,622,183"
10/04/2018,"76.57","76.76","74.57","75.41","4,779,435"
10/03/2018,"77.39","77.57","76.50","76.55","4,619,556"
10/02/2018,"78.33","78.89","77.05","77.08","4,398,394"
10/01/2018,"81.34","81.34","78.38","78.39","4,116,921"
09/28/2018,"81.77","81.81","80.69","80.78","4,263,008"
09/27/2018,"80.37","82.18","80.34","82.04","2,654,114"
09/26/2018,"80.28","81.10","79.92","80.66","2,168,232"
09/25/2018,"80.40","80.51","79.87","80.11","2,533,348"
09/24/2018,"80.69","80.72","79.55","80.16","2,265,294"
09/21/2018,"81.55","82.00","80.82","80.96","6,804,423"
09/20/2018,"80.66","81.34","80.17","81.08","3,516,894"
09/19/2018,"79.52","80.54","79.52","80.43","2,327,528"
