Date,Open,High,Low,Close,Volume
12/31/2019,"111.08","111.53","110.61","110.91","1,327,848"
12/30/2019,"112.50","112.69","110.97","111.37","953,173"
12/27/2019,"112.32","112.79","111.76","112.39","890,163"
12/26/2019,"111.43","111.98","111.30","111.94","1,268,259"
12/24/2019,"111.43","111.92","111.08","111.37","436,657"
12/23/2019,"111.06","111.68","111.04","111.28","1,495,847"
12/20/2019,"111.18","111.72","110.31","111.42","3,344,047"
12/19/2019,"109.27","110.67","109.15","110.34","1,935,723"
12/18/2019,"109.04","109.66","108.51","109.25","2,524,254"
12/17/2019,"108.32","108.90","107.74","108.80","2,109,033"
12/16/2019,"108.04","109.30","107.70","108.48","2,516,708"
12/13/2019,"106.54","107.44","106.17","107.20","1,286,630"
12/12/2019,"105.67","107.23","105.37","106.52","1,421,762"
12/11/2019,"105.11","105.95","104.80","105.70","1,453,677"
12/10/2019,"104.92","105.58","104.52","104.70","1,329,056"
12/09/2019,"105.60","106.11","104.75","104.75","1,436,288"
12/06/2019,"105.86","106.25","105.31","105.47","1,041,069"
12/05/2019,"104.62","105.30","104.28","104.91","1,096,805"
12/04/2019,"104.10","104.77","103.86","104.18","1,114,191"
12/03/2019,"103.26","104.18","102.76","103.95","1,486,970"
12/02/2019,"105.06","105.08","103.75","104.75","1,988,138"
11/29/2019,"105.82","106.25","104.77","105.00","764,587"
11/27/2019,"105.56","106.42","105.04","106.37","1,656,765"
11/26/2019,"103.20","105.42","102.85","105.32","1,972,100"
11/25/2019,"101.86","103.49","101.85","103.09","1,821,955"
11/22/2019,"99.45","101.47","99.12","101.22","2,161,625"
11/21/2019,"98.92","99.51","98.26","99.08","965,371"
11/20/2019,"99.61","100.11","98.70","99.26","986,511"
11/19/2019,"100.58","100.82","100.11","100.21","839,656"
11/18/2019,"99.52","100.52","99.52","100.17","1,617,609"
11/15/2019,"99.49","100.50","99.17","99.69","2,095,950"
11/14/2019,"97.90","99.00","97.50","98.85","973,568"
11/13/2019,"97.85","98.09","96.78","97.76","2,314,974"
11/12/2019,"98.29","99.34","97.95","98.09","856,563"
11/11/2019,"98.26","98.88","97.85","98.13","876,878"
11/08/2019,"98.62","99.10","97.86","99.09","941,200"
11/07/2019,"100.00","100.73","98.60","98.93","1,309,069"
11/06/2019,"100.44","100.44","99.13","99.57","1,143,849"
11/05/2019,"97.80","100.47","97.37","100.15","1,721,859"
11/04/2019,"96.81","98.69","96.45","97.99","1,335,440"
11/01/2019,"97.85","98.50","96.15","96.31","1,722,447"
10/31/2019,"96.90","97.63","96.54","96.96","1,514,992"
10/30/2019,"97.35","97.35","95.89","97.32","1,095,366"
10/29/2019,"97.10","97.81","96.55","97.31","1,078,556"
10/28/2019,"97.87","98.54","96.36","97.19","1,267,127"
10/25/2019,"96.73","98.62","96.49","97.69","1,559,506"
10/24/2019,"95.56","97.36","94.81","96.91","2,845,878"
10/23/2019,"91.50","95.95","89.85","95.77","4,070,021"
10/22/2019,"92.25","92.70","90.73","90.73","2,224,123"
10/21/2019,"91.76","92.43","91.52","92.39","1,793,984"
10/18/2019,"90.89","91.74","90.50","91.15","2,739,465"
10/17/2019,"92.42","94.79","91.83","92.20","1,862,406"
10/16/2019,"91.79","92.65","91.62","92.20","1,165,228"
10/15/2019,"91.61","92.40","90.81","91.66","1,687,865"
10/14/2019,"93.01","93.12","91.00","91.53","1,315,495"
10/11/2019,"92.96","94.66","92.96","93.43","2,763,002"
10/10/2019,"91.39","92.97","91.30","91.55","2,128,437"
10/09/2019,"91.47","91.76","90.59","91.50","1,724,073"
10/08/2019,"90.19","91.70","88.97","90.70","2,153,530"
10/07/2019,"93.03","93.12","90.95","91.00","2,091,104"
10/04/2019,"92.30","93.77","92.07","93.35","1,643,536"
10/03/2019,"91.13","92.05","90.64","91.99","1,863,460"
10/02/2019,"91.62","91.71","90.60","90.94","2,086,653"
10/01/2019,"93.45","94.34","92.07","92.15","2,016,294"
09/30/2019,"91.80","93.16","91.06","93.11","2,016,441"
09/27/2019,"92.54","92.94","90.98","91.45","1,359,874"
09/26/2019,"92.45","92.84","91.31","92.01","1,662,141"
09/25/2019,"92.05","93.20","91.52","92.77","1,199,836"
09/24/2019,"94.65","94.69","91.88","92.22","2,352,705"
09/23/2019,"94.88","95.74","94.23","94.25","1,598,026"
09/20/2019,"95.96","96.23","95.02","95.22","3,108,927"
09/19/2019,"95.74","96.04","95.45","95.78","1,196,919"
09/18/2019,"94.50","95.42","94.28","95.35","1,013,470"
09/17/2019,"93.63","95.77","93.63","94.86","954,903"
09/16/2019,"95.06","95.10","93.35","93.66","1,896,081"
09/13/2019,"95.29","97.49","94.89","96.05","1,567,352"
09/12/2019,"95.46","96.14","94.65","94.77","1,365,804"
09/11/2019,"94.14","95.61","93.61","95.18","2,139,924"
09/10/2019,"91.76","93.59","90.91","93.58","1,880,163"
09/09/2019,"93.97","94.11","92.05","92.53","1,375,817"
09/06/2019,"93.40","94.24","93.23","93.74","1,061,645"
09/05/2019,"93.22","93.82","92.90","93.47","1,084,768"
09/04/2019,"92.03","92.57","91.81","92.30","1,003,829"
09/03/2019,"91.16","91.67","90.72","91.31","1,530,448"
08/30/2019,"93.23","93.68","92.07","92.37","1,174,021"
08/29/2019,"92.72","93.56","92.46","92.54","945,577"
