Date,Open,High,Low,Close,Volume
12/31/2018,"57.17","57.78","56.89","57.46","129,648"
12/28/2018,"56.33","56.69","56.07","56.41","111,029"
12/27/2018,"54.39","55.37","54.01","55.37","167,265"
12/26/2018,"54.16","55.88","53.92","55.87","104,353"
12/24/2018,"54.65","54.85","54.07","54.07","112,513"
12/21/2018,"54.58","54.91","53.65","53.77","118,806"
12/20/2018,"55.16","55.35","54.26","54.68","134,211"
12/19/2018,"56.22","56.72","55.22","55.51","142,607"
12/18/2018,"56.77","56.89","56.22","56.32","155,969"
12/17/2018,"56.36","56.49","55.60","55.92","140,754"
12/14/2018,"56.15","56.69","55.93","56.05","91,367"
12/13/2018,"56.94","57.14","56.20","56.34","139,609"
12/12/2018,"57.38","57.59","56.56","56.63","205,429"
12/11/2018,"57.12","57.12","55.74","55.83","225,935"
12/10/2018,"56.36","56.60","55.21","55.72","191,257"
12/07/2018,"57.37","57.92","56.34","56.41","251,282"
12/06/2018,"55.44","56.97","55.29","56.88","309,445"
12/04/2018,"57.88","58.11","56.77","56.87","285,480"
12/03/2018,"58.41","58.65","57.99","58.56","202,961"
11/30/2018,"57.93","57.96","57.29","57.82","198,408"
11/29/2018,"59.05","59.37","58.68","59.19","176,014"
11/28/2018,"58.11","59.17","57.64","59.11","99,501"
11/27/2018,"57.27","57.71","56.81","57.68","215,274"
11/26/2018,"58.12","58.68","58.06","58.59","153,975"
11/23/2018,"57.16","57.66","57.14","57.56","97,925"
11/21/2018,"56.81","57.72","56.75","57.57","90,805"
11/20/2018,"55.79","56.74","55.70","56.23","84,831"
11/19/2018,"57.61","57.78","56.59","56.69","72,128"
11/16/2018,"57.48","58.03","57.34","57.84","115,277"
11/15/2018,"56.89","57.58","56.55","57.44","107,096"
11/14/2018,"57.99","58.08","57.01","57.25","181,840"
11/13/2018,"56.65","57.52","56.44","56.80","245,100"
11/12/2018,"55.94","56.03","55.45","55.46","131,181"
11/09/2018,"56.45","56.59","56.06","56.12","145,901"
11/08/2018,"56.76","56.95","56.48","56.81","166,815"
11/07/2018,"56.51","57.28","56.32","57.24","143,785"
11/06/2018,"56.43","56.71","55.74","56.06","152,700"
11/05/2018,"57.12","57.48","56.91","57.25","141,945"
11/02/2018,"58.33","58.65","57.67","58.02","169,108"
11/01/2018,"57.68","58.71","57.33","58.58","538,123"
10/31/2018,"55.20","56.80","55.17","56.59","915,037"
10/30/2018,"54.11","54.63","54.04","54.35","846,201"
10/29/2018,"55.88","56.22","54.01","54.49","209,634"
10/26/2018,"54.25","55.31","53.73","54.91","225,735"
10/25/2018,"54.83","55.23","54.44","54.96","134,698"
10/24/2018,"55.38","55.44","53.52","53.52","189,783"
10/23/2018,"54.89","55.75","54.54","55.61","176,005"
10/22/2018,"55.78","55.96","55.47","55.64","98,277"
10/19/2018,"55.96","56.88","55.96","56.25","446,757"
10/18/2018,"59.46","59.46","58.08","58.28","178,734"
10/17/2018,"58.62","59.04","58.29","58.77","122,916"
10/16/2018,"59.20","59.53","59.00","59.43","131,015"
10/15/2018,"58.61","58.92","58.41","58.42","234,831"
10/12/2018,"59.79","59.79","58.89","59.59","166,925"
10/11/2018,"59.67","59.86","58.72","58.98","119,330"
10/10/2018,"61.19","61.21","60.13","60.13","279,223"
10/09/2018,"61.73","62.44","61.73","62.07","501,853"
10/08/2018,"62.02","62.53","61.49","62.44","358,474"
10/05/2018,"63.18","63.27","62.23","62.69","216,329"
10/04/2018,"64.85","64.92","63.22","63.53","270,126"
10/03/2018,"65.91","65.98","65.24","65.33","238,689"
10/02/2018,"65.91","66.00","65.64","65.66","193,499"
10/01/2018,"66.28","66.52","65.91","65.96","142,033"
09/28/2018,"66.60","66.69","66.04","66.09","93,988"
09/27/2018,"66.37","66.75","66.24","66.46","103,007"
09/26/2018,"66.04","67.13","65.96","66.65","86,079"
09/25/2018,"65.88","66.13","65.56","65.61","71,888"
09/24/2018,"65.60","65.63","65.33","65.37","50,592"
09/21/2018,"66.05","66.22","65.86","65.87","210,229"
09/20/2018,"65.03","65.69","64.87","65.54","104,347"
09/19/2018,"64.44","65.19","64.44","65.02","198,466"
09/18/2018,"64.85","65.13","64.77","65.04","183,036"
09/17/2018,"64.69","64.78","64.46","64.49","168,709"
09/14/2018,"64.77","65.27","64.73","65.19","293,656"
09/13/2018,"64.49","64.96","64.43","64.61","73,200"
09/12/2018,"64.15","64.49","64.01","64.41","100,048"
09/11/2018,"63.40","64.00","63.15","63.96","78,275"
09/10/2018,"63.96","64.11","63.60","64.00","129,678"
09/07/2018,"63.12","63.68","63.02","63.33","158,952"
09/06/2018,"63.60","63.84","63.09","63.19","246,747"
09/05/2018,"64.53","64.61","63.66","63.85","175,315"
09/04/2018,"64.48","64.54","63.91","64.21","604,584"
08/31/2018,"65.63","65.86","65.31","65.39","99,959"
08/30/2018,"66.29","66.44","65.98","66.01","175,094"
08/29/2018,"66.19","66.72","66.18","66.55","250,337"
08/28/2018,"66.00","66.18","65.68","66.01","327,652"
08/27/2018,"65.23","65.80","65.05","65.57","86,288"
08/24/2018,"64.42","65.09","64.42","64.89","197,705"
08/23/2018,"64.14","64.46","63.99","64.32","202,195"
08/22/2018,"64.98","65.21","64.77","65.09","74,869"
08/21/2018,"64.67","65.00","64.58","64.94","110,841"
08/20/2018,"64.85","65.18","64.82","65.15","265,502"
08/17/2018,"63.62","64.72","63.45","64.51","109,847"
08/16/2018,"63.73","63.98","63.66","63.79","591,697"
08/15/2018,"63.08","63.41","62.83","63.23","601,450"
08/14/2018,"64.65","64.69","64.06","64.22","684,737"
08/13/2018,"64.11","64.32","63.54","63.80","464,901"
08/10/2018,"63.86","64.31","63.86","63.97","409,512"
