Date,Open,High,Low,Close,Volume
12/31/2019,"68.26","68.67","68.26","68.67","57,012"
12/30/2019,"69.12","69.12","68.19","68.26","64,122"
12/27/2019,"68.67","68.71","68.12","68.25","52,339"
12/26/2019,"68.01","68.18","67.85","68.12","29,841"
12/24/2019,"67.88","67.88","67.63","67.76","12,499"
12/23/2019,"67.35","67.81","67.21","67.72","74,476"
12/20/2019,"67.00","67.24","66.86","67.05","102,559"
12/19/2019,"66.33","66.96","66.31","66.88","102,240"
12/18/2019,"66.52","67.15","66.51","67.07","119,216"
12/17/2019,"66.20","67.02","65.98","66.72","137,545"
12/16/2019,"66.65","66.92","66.48","66.62","93,838"
12/13/2019,"65.97","65.97","64.97","65.47","130,995"
12/12/2019,"64.05","64.69","63.90","64.52","115,177"
12/11/2019,"63.21","63.48","63.20","63.34","71,125"
12/10/2019,"63.14","63.22","62.91","63.06","39,061"
12/09/2019,"63.02","63.36","62.99","63.15","47,204"
12/06/2019,"63.35","63.59","63.10","63.49","42,418"
12/05/2019,"62.61","62.80","62.55","62.71","48,176"
12/04/2019,"62.08","62.47","62.07","62.47","94,768"
12/03/2019,"62.36","62.69","61.96","62.12","169,189"
12/02/2019,"64.49","64.60","63.96","64.36","144,025"
11/29/2019,"64.91","65.02","64.59","64.73","61,355"
11/27/2019,"65.03","65.46","64.86","65.36","101,090"
11/26/2019,"63.27","64.01","63.25","64.00","135,008"
11/25/2019,"62.79","63.16","62.71","62.91","143,117"
11/22/2019,"60.99","61.16","60.78","61.11","70,973"
11/21/2019,"59.85","60.16","59.56","59.99","97,386"
11/20/2019,"60.51","60.53","59.88","60.08","117,041"
11/19/2019,"62.90","62.93","61.93","62.02","94,662"
11/18/2019,"62.01","62.03","61.64","61.84","88,818"
11/15/2019,"61.23","61.52","61.23","61.41","64,329"
11/14/2019,"60.89","61.39","60.85","61.38","48,053"
11/13/2019,"61.09","61.34","61.01","61.32","163,201"
11/12/2019,"61.81","62.08","61.56","61.61","93,770"
11/11/2019,"61.02","61.55","60.98","61.55","82,036"
11/08/2019,"61.50","61.55","61.19","61.42","91,208"
11/07/2019,"61.84","62.00","61.70","61.80","66,356"
11/06/2019,"61.74","61.89","61.55","61.67","166,284"
11/05/2019,"61.04","61.66","60.91","61.63","101,855"
11/04/2019,"60.90","60.98","60.67","60.98","106,788"
11/01/2019,"61.51","61.51","60.52","60.95","234,407"
10/31/2019,"60.82","60.82","60.10","60.59","168,508"
10/30/2019,"60.23","60.24","59.57","60.16","94,441"
10/29/2019,"59.45","59.82","59.21","59.63","145,403"
10/28/2019,"59.56","60.06","59.46","59.90","136,939"
10/25/2019,"59.16","59.66","59.11","59.60","133,622"
10/24/2019,"59.21","59.41","58.98","59.38","1,277,913"
10/23/2019,"58.35","58.68","58.25","58.40","1,087,674"
10/22/2019,"58.56","58.73","58.05","58.15","179,490"
10/21/2019,"59.02","59.41","58.95","59.17","164,780"
10/18/2019,"59.09","59.11","58.22","58.45","228,704"
10/17/2019,"61.01","61.11","60.46","60.51","152,928"
10/16/2019,"61.03","61.06","60.21","60.29","124,758"
10/15/2019,"59.63","60.27","59.39","60.01","122,747"
10/14/2019,"59.66","59.86","59.19","59.19","94,009"
10/11/2019,"60.20","60.62","60.18","60.26","84,185"
10/10/2019,"58.88","59.55","58.87","59.37","117,214"
10/09/2019,"58.89","59.06","58.79","58.96","123,413"
10/08/2019,"59.14","59.16","58.54","58.72","101,955"
10/07/2019,"59.69","59.95","59.50","59.66","212,467"
10/04/2019,"59.40","59.86","59.23","59.86","139,522"
10/03/2019,"59.60","59.72","59.09","59.55","115,023"
10/02/2019,"60.11","60.12","59.21","59.55","118,185"
10/01/2019,"61.95","62.12","61.25","61.37","88,799"
09/30/2019,"62.27","62.55","62.19","62.29","106,447"
09/27/2019,"62.65","62.65","61.48","61.65","178,621"
09/26/2019,"62.66","62.69","61.51","61.72","202,379"
09/25/2019,"61.15","61.46","60.99","61.40","109,245"
09/24/2019,"62.66","63.05","62.09","62.20","346,784"
09/23/2019,"61.99","62.03","61.62","61.66","181,897"
09/20/2019,"62.54","62.65","61.82","61.84","147,377"
09/19/2019,"62.73","62.83","62.41","62.41","253,645"
09/18/2019,"62.81","62.88","62.15","62.55","373,171"
09/17/2019,"62.82","63.01","62.56","62.86","479,162"
09/16/2019,"62.41","62.52","61.60","61.60","257,048"
09/13/2019,"62.20","63.01","62.11","62.61","77,799"
09/12/2019,"62.37","62.75","62.10","62.10","203,658"
09/11/2019,"63.54","63.63","62.96","63.41","579,086"
09/10/2019,"61.74","62.39","61.69","62.30","374,512"
09/09/2019,"62.35","62.66","62.28","62.38","232,805"
09/06/2019,"62.61","63.24","62.61","63.10","728,292"
09/05/2019,"62.55","62.92","62.44","62.58","480,428"
09/04/2019,"62.70","63.02","62.52","62.90","733,782"
09/03/2019,"62.60","62.72","62.09","62.25","474,440"
08/30/2019,"62.85","63.40","62.66","62.68","1,118,230"
08/29/2019,"62.55","62.70","62.22","62.37","347,295"
08/28/2019,"62.80","63.08","62.49","62.83","71,907"
08/27/2019,"63.53","63.55","62.95","63.02","80,444"
08/26/2019,"63.21","63.21","62.69","62.77","55,374"
08/23/2019,"63.97","64.13","62.71","62.77","83,751"
08/22/2019,"64.15","64.15","63.30","63.49","37,419"
08/21/2019,"64.27","64.28","63.83","63.97","87,677"
08/20/2019,"63.82","63.84","63.44","63.55","60,820"
08/19/2019,"63.77","64.09","63.66","63.78","124,736"
08/16/2019,"63.04","63.48","62.92","63.46","84,689"
08/15/2019,"62.71","63.06","62.34","62.81","97,926"
08/14/2019,"63.73","63.87","63.32","63.48","135,700"
08/13/2019,"64.38","65.43","64.30","65.18","180,040"
08/12/2019,"65.57","66.14","65.45","65.46","109,481"
08/09/2019,"65.64","65.92","65.31","65.55","144,467"
08/08/2019,"63.82","65.57","63.79","65.35","237,774"
08/07/2019,"64.70","65.16","64.32","64.94","125,582"
08/06/2019,"64.10","64.64","63.73","64.44","158,060"
08/05/2019,"64.99","65.30","64.40","64.70","171,656"
08/02/2019,"67.82","67.85","67.08","67.15","169,828"
08/01/2019,"68.57","69.55","68.34","68.34","270,129"
07/31/2019,"70.88","71.02","69.52","70.15","104,410"
07/30/2019,"70.41","70.80","70.24","70.35","68,365"
07/29/2019,"70.92","70.96","70.20","70.24","92,124"
07/26/2019,"69.94","70.27","69.87","70.17","42,689"
07/25/2019,"69.51","69.75","69.05","69.18","62,197"
07/24/2019,"69.74","70.32","69.59","70.24","43,064"
07/23/2019,"69.29","69.76","69.14","69.73","61,316"
07/22/2019,"69.02","69.75","69.02","69.29","81,719"
07/19/2019,"70.09","70.20","69.56","69.56","67,284"
07/18/2019,"69.59","69.92","69.44","69.77","113,455"
07/17/2019,"70.35","70.35","69.67","69.71","166,910"
07/16/2019,"70.02","70.33","69.80","69.90","152,537"
07/15/2019,"69.63","69.77","69.33","69.67","85,379"
