Date,Open,High,Low,Close,Volume
12/31/2019,"151.69","152.45","150.81","151.43","1,186,070"
12/30/2019,"153.00","153.24","151.24","151.87","820,252"
12/27/2019,"153.38","153.39","152.53","152.73","629,805"
12/26/2019,"151.76","153.16","151.55","153.13","692,438"
12/24/2019,"151.17","152.36","150.66","151.50","668,349"
12/23/2019,"151.00","151.89","150.62","151.24","863,626"
12/20/2019,"151.28","151.55","148.52","150.80","2,853,576"
12/19/2019,"149.16","150.43","149.16","150.04","1,889,753"
12/18/2019,"148.92","149.72","148.38","149.55","1,201,637"
12/17/2019,"147.86","149.31","147.69","148.91","1,251,672"
12/16/2019,"147.60","148.95","147.06","147.90","1,303,838"
12/13/2019,"145.05","146.45","144.31","146.16","1,615,366"
12/12/2019,"142.64","145.59","142.33","145.10","1,472,613"
12/11/2019,"141.28","143.25","140.80","142.75","1,428,810"
12/10/2019,"141.09","141.90","140.20","140.57","1,166,142"
12/09/2019,"142.22","142.56","141.32","141.35","850,224"
12/06/2019,"141.31","142.72","141.00","142.29","1,349,107"
12/05/2019,"139.97","140.50","139.51","140.30","991,581"
12/04/2019,"138.46","139.83","138.38","139.26","1,149,774"
12/03/2019,"138.90","139.14","137.76","138.56","1,141,070"
12/02/2019,"140.68","140.81","139.88","140.43","1,402,125"
11/29/2019,"140.77","141.75","140.06","140.36","751,605"
11/27/2019,"140.18","141.75","140.10","141.34","1,362,281"
11/26/2019,"138.15","140.30","137.34","140.08","1,757,560"
11/25/2019,"137.00","138.51","136.60","137.98","1,422,521"
11/22/2019,"133.61","136.52","132.84","136.25","1,304,510"
11/21/2019,"133.16","133.52","131.35","132.98","997,316"
11/20/2019,"133.86","134.58","131.26","132.71","1,408,586"
11/19/2019,"136.12","136.33","135.23","135.47","992,680"
11/18/2019,"135.17","136.31","135.03","135.68","1,568,761"
11/15/2019,"134.91","135.96","134.17","135.52","1,371,231"
11/14/2019,"133.42","134.77","132.94","134.55","1,238,804"
11/13/2019,"132.23","133.86","131.52","133.65","1,305,952"
11/12/2019,"132.16","134.24","132.01","132.53","1,365,491"
11/11/2019,"132.25","132.43","130.83","131.75","1,282,675"
11/08/2019,"132.84","133.40","131.98","133.20","1,020,339"
11/07/2019,"132.55","134.14","132.05","133.06","1,651,895"
11/06/2019,"133.42","133.77","131.74","132.58","1,678,187"
11/05/2019,"128.01","134.32","127.75","133.69","3,577,847"
11/04/2019,"128.86","130.56","127.47","130.16","2,225,938"
11/01/2019,"128.24","129.12","126.94","128.08","1,633,396"
10/31/2019,"125.96","126.84","124.73","126.55","1,500,024"
10/30/2019,"126.37","126.96","124.71","126.44","931,684"
10/29/2019,"126.77","127.17","125.54","126.53","1,229,036"
10/28/2019,"126.03","126.76","125.14","126.60","1,017,114"
10/25/2019,"123.77","126.72","123.77","126.18","1,364,597"
10/24/2019,"123.93","124.65","122.86","124.30","1,357,329"
10/23/2019,"121.46","123.67","121.02","123.49","1,450,746"
10/22/2019,"122.62","123.01","121.85","122.05","1,734,824"
10/21/2019,"122.26","123.40","121.91","123.00","1,837,822"
10/18/2019,"120.40","121.40","118.96","121.05","1,437,521"
10/17/2019,"120.81","121.73","120.35","120.57","985,740"
10/16/2019,"121.18","121.70","120.34","121.09","1,098,354"
10/15/2019,"120.33","121.71","120.29","121.11","956,423"
10/14/2019,"120.79","121.21","119.37","120.10","1,065,157"
10/11/2019,"119.73","122.31","119.03","121.18","1,831,210"
10/10/2019,"118.57","119.84","117.67","118.19","1,706,322"
10/09/2019,"118.59","119.06","117.25","118.49","1,458,601"
10/08/2019,"118.20","118.93","116.85","117.67","1,721,319"
10/07/2019,"120.08","120.71","118.88","119.20","1,731,720"
10/04/2019,"119.96","121.02","119.60","120.86","1,913,747"
10/03/2019,"120.29","120.68","118.53","119.02","2,369,326"
10/02/2019,"122.30","122.30","119.60","120.33","1,950,000"
10/01/2019,"125.05","126.41","123.31","123.40","1,846,141"
09/30/2019,"121.88","124.61","120.66","124.37","2,804,408"
09/27/2019,"122.48","123.00","120.02","120.77","3,215,616"
09/26/2019,"122.36","122.89","121.35","121.67","2,716,929"
09/25/2019,"122.50","123.37","121.28","123.03","2,929,815"
09/24/2019,"126.11","126.11","122.19","122.27","2,766,697"
09/23/2019,"126.25","126.80","125.40","125.85","3,094,689"
09/20/2019,"129.07","129.46","126.86","126.97","3,064,587"
09/19/2019,"130.49","131.35","129.41","129.55","1,092,356"
09/18/2019,"130.13","130.48","128.71","130.19","1,095,359"
09/17/2019,"130.68","131.43","129.78","130.56","879,721"
09/16/2019,"132.80","132.80","130.18","130.48","1,310,600"
09/13/2019,"132.98","135.46","132.56","133.99","1,168,282"
09/12/2019,"133.50","134.37","132.39","132.51","1,080,141"
09/11/2019,"131.39","133.59","130.83","133.09","1,613,905"
09/10/2019,"130.00","131.71","128.67","131.69","1,259,001"
09/09/2019,"129.79","129.95","128.36","129.91","1,291,058"
09/06/2019,"128.50","129.78","128.05","129.43","1,120,150"
09/05/2019,"126.89","128.87","125.92","128.46","2,941,849"
09/04/2019,"125.61","126.03","124.92","125.69","2,471,546"
09/03/2019,"124.94","124.94","123.63","124.27","1,894,973"
08/30/2019,"126.30","127.61","125.79","126.06","1,877,383"
08/29/2019,"127.20","127.46","125.38","125.73","1,701,851"
08/28/2019,"125.17","125.94","124.66","125.34","1,892,196"
08/27/2019,"127.02","127.20","125.26","125.35","1,214,763"
08/26/2019,"126.43","126.86","125.37","126.23","1,263,397"
08/23/2019,"127.26","127.92","124.67","125.10","1,736,121"
08/22/2019,"128.83","129.43","126.97","128.19","963,929"
08/21/2019,"131.58","131.65","128.00","128.35","1,646,620"
08/20/2019,"130.03","131.60","129.73","130.68","979,775"
08/19/2019,"130.89","131.24","129.96","130.57","1,289,252"
08/16/2019,"127.94","129.26","127.33","128.82","1,307,626"
08/15/2019,"128.89","129.28","126.02","126.70","1,950,782"
08/14/2019,"130.36","131.93","126.23","126.85","2,103,388"
08/13/2019,"130.19","133.23","130.01","132.41","1,616,068"
08/12/2019,"131.20","131.75","129.84","130.01","2,305,298"
08/09/2019,"131.34","132.98","129.73","132.46","2,304,381"
08/08/2019,"129.11","131.06","128.22","130.34","1,651,036"
08/07/2019,"126.27","128.91","124.77","127.82","2,447,899"
08/06/2019,"126.58","132.45","126.30","128.49","3,932,539"
08/05/2019,"134.09","134.53","129.86","130.34","3,161,859"
08/02/2019,"136.76","137.24","135.45","135.98","1,098,742"
08/01/2019,"138.99","140.49","136.50","136.87","1,268,737"
07/31/2019,"140.98","141.23","137.80","139.06","1,551,642"
07/30/2019,"140.33","141.46","139.88","140.81","947,484"
07/29/2019,"139.94","141.59","139.46","141.23","1,113,900"
07/26/2019,"141.29","141.34","139.92","140.27","1,235,165"
07/25/2019,"139.66","141.74","139.31","140.72","1,395,540"
07/24/2019,"140.08","140.53","137.75","139.79","1,729,997"
07/23/2019,"137.32","140.88","136.11","140.69","2,288,063"
07/22/2019,"137.50","137.79","135.39","136.06","1,998,078"
07/19/2019,"140.23","140.23","137.63","137.73","1,549,821"
07/18/2019,"140.68","140.85","138.68","139.80","1,597,396"
07/17/2019,"143.94","143.94","141.15","141.24","1,229,487"
07/16/2019,"142.99","144.24","142.60","143.96","1,023,541"
07/15/2019,"142.08","142.88","140.88","142.78","1,656,087"
07/12/2019,"142.23","142.75","141.64","142.55","1,057,918"
07/11/2019,"142.25","142.25","140.70","141.90","1,290,482"
07/10/2019,"139.43","141.62","139.00","141.57","1,956,849"
07/09/2019,"138.63","139.61","137.85","139.52","1,808,107"
07/08/2019,"141.74","141.74","140.02","141.30","1,166,369"
07/05/2019,"140.89","142.18","139.63","142.01","1,274,148"
07/03/2019,"141.79","142.09","141.09","141.75","650,541"
07/02/2019,"140.81","141.27","139.25","141.26","986,446"
07/01/2019,"142.41","142.90","140.78","141.23","1,825,597"
06/28/2019,"138.45","140.46","138.15","140.29","3,030,299"
06/27/2019,"135.92","138.83","135.91","138.29","1,865,235"
06/26/2019,"134.15","136.26","133.70","135.65","1,546,274"
06/25/2019,"136.71","136.73","132.74","133.28","1,729,774"
06/24/2019,"137.40","137.98","136.39","136.76","1,095,189"
06/21/2019,"136.54","138.05","136.04","137.07","2,353,466"
06/20/2019,"136.90","138.42","136.46","137.19","1,582,731"
06/19/2019,"135.00","135.84","134.09","135.68","1,222,354"
06/18/2019,"135.00","136.30","133.85","134.96","1,531,626"
06/17/2019,"134.04","134.11","132.58","132.85","1,263,608"
06/14/2019,"133.63","134.03","132.17","133.68","872,550"
06/13/2019,"133.26","134.33","132.03","133.62","1,116,059"
06/12/2019,"134.87","135.42","132.68","132.70","1,184,307"
06/11/2019,"134.14","135.47","133.21","134.52","1,387,618"
06/10/2019,"133.13","134.76","132.47","132.75","1,315,494"
06/07/2019,"129.50","133.03","129.00","132.52","1,458,481"
06/06/2019,"127.62","129.01","126.96","128.60","1,355,297"
06/05/2019,"128.55","128.63","126.44","127.55","1,422,595"
06/04/2019,"126.30","128.24","125.51","128.18","1,796,099"
06/03/2019,"124.76","125.27","123.46","124.36","2,263,450"
05/31/2019,"123.45","125.57","122.46","124.84","2,000,013"
05/30/2019,"124.71","125.60","123.82","124.65","1,116,243"
05/29/2019,"123.29","124.63","122.52","124.42","1,321,921"
05/28/2019,"125.15","125.50","123.63","123.70","3,209,131"
05/24/2019,"124.63","125.74","124.38","125.00","1,357,083"
05/23/2019,"125.98","126.10","123.53","123.91","2,227,093"
05/22/2019,"128.83","129.20","127.63","127.77","1,620,114"
05/21/2019,"128.71","129.65","128.07","129.43","1,780,139"
05/20/2019,"128.75","129.59","127.49","127.86","1,591,780"
05/17/2019,"132.15","133.17","130.87","130.91","1,653,493"
05/16/2019,"132.07","133.29","130.96","132.51","1,818,360"
05/15/2019,"128.79","132.33","127.27","131.83","1,907,858"
05/14/2019,"126.68","130.97","126.31","129.87","2,273,434"
05/13/2019,"129.47","129.78","125.72","126.01","2,392,067"
