Date,Open,High,Low,Close,Volume
12/31/2018,"107.61","108.56","107.39","108.56","1,771,174"
12/28/2018,"107.19","108.52","106.40","107.24","1,280,441"
12/27/2018,"104.27","106.66","102.80","106.63","1,630,241"
12/26/2018,"101.70","105.68","101.42","105.58","2,505,402"
12/24/2018,"102.52","102.99","100.62","100.99","1,450,123"
12/21/2018,"104.39","106.53","102.30","102.88","4,319,254"
12/20/2018,"106.24","106.24","102.96","104.19","4,183,570"
12/19/2018,"108.76","109.75","105.76","106.39","2,234,044"
12/18/2018,"108.71","109.39","107.52","108.24","1,882,449"
12/17/2018,"107.92","109.34","106.58","107.66","2,353,417"
12/14/2018,"108.00","109.98","107.37","107.66","2,241,619"
12/13/2018,"110.57","110.98","108.24","108.85","2,066,676"
12/12/2018,"110.19","111.90","109.97","110.07","2,615,811"
12/11/2018,"112.33","112.94","109.79","110.03","2,613,805"
12/10/2018,"111.44","112.35","109.20","110.81","1,787,229"
12/07/2018,"114.85","116.25","110.69","111.25","2,637,020"
12/06/2018,"111.68","115.50","111.11","115.32","2,921,499"
12/04/2018,"119.00","119.23","112.92","113.50","3,097,505"
12/03/2018,"116.00","120.09","115.69","119.53","3,620,984"
11/30/2018,"113.60","116.72","113.38","115.03","9,553,360"
11/29/2018,"121.37","122.83","120.55","121.84","1,180,695"
11/28/2018,"119.99","122.27","118.52","122.19","1,497,787"
11/27/2018,"120.00","120.40","119.07","119.97","1,539,401"
11/26/2018,"118.99","120.51","118.28","119.90","1,284,637"
11/23/2018,"116.51","118.00","115.80","117.26","445,155"
11/21/2018,"116.10","118.74","116.09","117.17","1,317,537"
11/20/2018,"114.26","116.29","113.14","115.56","2,237,734"
11/19/2018,"118.45","118.86","115.39","116.50","1,696,729"
11/16/2018,"117.22","119.32","117.04","118.65","1,369,326"
11/15/2018,"115.24","118.62","115.03","118.31","1,596,334"
11/14/2018,"117.35","118.00","115.60","116.30","1,383,237"
11/13/2018,"115.72","117.92","115.70","116.55","2,381,824"
11/12/2018,"116.56","117.31","114.73","115.07","1,997,245"
11/09/2018,"116.65","117.62","116.18","117.04","1,687,452"
11/08/2018,"115.61","117.21","115.26","116.91","1,810,487"
11/07/2018,"114.82","117.15","114.64","116.14","2,503,054"
11/06/2018,"115.00","117.40","112.11","114.55","6,924,640"
11/05/2018,"121.30","121.53","119.71","120.68","2,425,040"
11/02/2018,"122.24","122.97","119.94","120.93","2,814,140"
11/01/2018,"118.49","121.23","116.02","121.09","2,471,271"
10/31/2018,"116.33","118.72","116.21","116.89","2,438,100"
10/30/2018,"112.85","115.37","112.45","115.27","2,419,908"
10/29/2018,"113.92","114.53","111.20","112.78","2,868,570"
10/26/2018,"108.63","114.18","108.44","112.73","3,120,997"
10/25/2018,"108.16","112.38","108.16","111.54","3,274,383"
10/24/2018,"112.03","113.78","106.96","107.13","5,159,592"
10/23/2018,"111.00","112.40","107.90","112.35","4,007,767"
10/22/2018,"112.55","113.12","111.28","111.49","1,559,574"
10/19/2018,"114.71","115.29","112.01","112.04","2,664,322"
10/18/2018,"117.49","117.93","115.12","115.29","2,185,114"
10/17/2018,"118.17","118.73","116.37","117.96","1,067,891"
10/16/2018,"116.23","118.33","115.96","117.95","1,560,621"
10/15/2018,"117.05","117.40","115.47","115.51","1,509,679"
10/12/2018,"117.21","117.89","115.74","117.49","2,303,430"
10/11/2018,"116.34","117.42","114.05","114.63","2,606,787"
10/10/2018,"119.27","119.66","116.41","116.48","2,233,216"
10/09/2018,"120.48","121.26","119.68","119.77","1,718,194"
10/08/2018,"121.45","121.69","119.50","120.57","1,676,830"
10/05/2018,"122.92","123.52","120.29","121.45","2,302,996"
10/04/2018,"124.29","124.56","121.08","122.20","2,714,311"
10/03/2018,"126.30","126.89","124.34","124.59","2,451,676"
