Date,Open,High,Low,Close,Volume
12/31/2018,"70.21","71.25","68.72","70.51","553,609"
12/28/2018,"68.59","70.81","67.73","69.61","802,889"
12/27/2018,"65.46","68.85","64.48","67.99","674,388"
12/26/2018,"61.87","66.99","60.70","66.84","551,753"
12/24/2018,"62.19","62.58","60.68","61.33","423,746"
12/21/2018,"65.07","66.12","62.05","62.52","1,678,171"
12/20/2018,"66.84","68.01","64.22","65.05","960,514"
12/19/2018,"70.34","72.20","66.93","67.64","595,467"
12/18/2018,"73.56","74.02","70.17","70.60","630,940"
12/17/2018,"72.20","74.56","70.50","72.57","624,065"
12/14/2018,"71.42","74.72","70.83","72.31","428,372"
12/13/2018,"73.97","74.75","72.51","72.66","457,815"
12/12/2018,"72.90","75.25","72.73","73.28","439,595"
12/11/2018,"75.30","76.24","71.74","71.76","530,268"
12/10/2018,"72.48","74.45","71.71","73.92","692,419"
12/07/2018,"75.55","78.27","72.33","72.60","593,239"
12/06/2018,"76.07","76.14","73.70","75.38","771,895"
12/04/2018,"84.47","84.97","77.24","77.84","736,988"
12/03/2018,"83.36","85.64","82.66","85.06","677,435"
11/30/2018,"81.13","81.36","80.05","81.20","615,083"
11/29/2018,"79.48","82.48","79.48","81.73","1,001,375"
11/28/2018,"77.86","80.08","76.63","79.89","573,927"
11/27/2018,"76.99","78.30","76.56","77.96","526,279"
11/26/2018,"76.50","78.95","76.45","77.13","471,801"
11/23/2018,"76.28","77.98","75.96","76.04","225,733"
11/21/2018,"73.93","77.73","73.93","76.58","435,273"
11/20/2018,"75.20","75.71","72.50","73.10","840,496"
11/19/2018,"76.37","77.32","76.07","76.59","718,399"
11/16/2018,"74.64","77.30","74.49","76.61","769,403"
11/15/2018,"75.20","75.97","72.10","75.52","998,744"
11/14/2018,"77.19","79.08","76.30","76.36","824,431"
11/13/2018,"75.95","78.14","75.49","75.51","793,197"
11/12/2018,"80.46","80.51","75.39","75.80","1,484,334"
11/09/2018,"85.94","86.79","79.14","80.51","1,441,204"
11/08/2018,"90.83","91.11","86.51","87.36","1,118,002"
11/07/2018,"91.09","95.22","90.07","91.69","1,435,194"
11/06/2018,"96.48","97.23","95.04","96.20","597,427"
11/05/2018,"97.96","98.04","96.06","97.18","481,917"
11/02/2018,"97.31","98.28","95.85","98.02","546,763"
11/01/2018,"89.08","98.18","88.49","97.08","847,464"
10/31/2018,"88.06","89.70","87.30","88.49","631,151"
10/30/2018,"83.88","86.72","83.88","86.69","448,686"
10/29/2018,"87.22","88.40","83.40","84.55","624,772"
10/26/2018,"85.59","86.63","83.65","85.98","668,613"
10/25/2018,"84.49","87.11","84.49","86.58","726,582"
10/24/2018,"86.75","87.63","83.78","83.94","940,261"
10/23/2018,"87.61","88.41","85.52","86.92","660,566"
10/22/2018,"90.20","90.50","88.23","89.19","535,107"
10/19/2018,"91.56","92.49","89.35","89.96","537,404"
10/18/2018,"94.23","94.23","90.30","91.55","638,577"
10/17/2018,"95.61","96.31","94.03","94.69","568,518"
10/16/2018,"93.49","96.78","93.49","95.99","545,217"
10/15/2018,"93.55","94.31","92.23","93.45","551,540"
10/12/2018,"95.29","95.63","92.00","93.73","687,040"
10/11/2018,"95.00","95.22","92.69","93.59","1,114,208"
10/10/2018,"99.72","99.72","94.92","95.11","855,680"
10/09/2018,"101.12","102.23","100.04","100.19","658,277"
10/08/2018,"101.10","102.44","100.25","101.65","581,259"
10/05/2018,"103.21","103.65","100.94","101.94","824,610"
10/04/2018,"106.94","107.45","102.66","103.07","834,208"
10/03/2018,"108.50","108.61","106.34","107.37","634,523"
10/02/2018,"109.00","109.28","107.36","108.29","744,564"
10/01/2018,"112.12","112.75","108.63","109.01","474,296"
09/28/2018,"111.52","112.61","110.68","111.75","425,776"
09/27/2018,"114.00","114.09","110.95","111.48","1,085,630"
09/26/2018,"117.18","118.15","116.54","116.72","414,308"
09/25/2018,"116.40","117.89","116.22","117.30","525,471"
09/24/2018,"117.75","117.81","114.63","116.16","397,695"
09/21/2018,"118.19","119.30","117.78","118.00","562,047"
09/20/2018,"116.55","118.58","115.26","118.15","418,804"
09/19/2018,"115.42","116.75","115.38","116.11","410,357"
09/18/2018,"113.74","116.65","113.74","116.11","380,322"
09/17/2018,"114.25","114.43","113.36","113.82","262,369"
09/14/2018,"112.06","114.51","111.07","114.29","453,769"
09/13/2018,"109.78","112.17","109.70","112.07","451,358"
09/12/2018,"108.00","110.05","107.64","109.84","723,725"
09/11/2018,"112.45","112.45","108.20","108.43","1,010,843"
09/10/2018,"115.33","115.70","112.64","112.89","851,639"
09/07/2018,"115.75","115.98","114.30","115.32","856,121"
09/06/2018,"118.43","119.14","115.86","115.96","676,126"
09/05/2018,"118.11","118.93","116.66","118.31","1,017,872"
09/04/2018,"118.45","119.78","117.08","118.28","844,250"
08/31/2018,"121.53","121.53","116.90","119.00","7,085,282"
08/30/2018,"122.25","123.79","121.30","121.61","444,847"
08/29/2018,"123.94","124.39","121.05","121.75","588,508"
08/28/2018,"123.61","125.10","122.79","124.69","250,256"
08/27/2018,"125.01","126.17","122.89","123.35","242,999"
08/24/2018,"124.31","125.17","123.75","124.83","213,600"
08/23/2018,"126.06","126.52","123.90","124.30","254,685"
08/22/2018,"126.25","126.60","124.82","126.15","208,616"
08/21/2018,"123.26","126.84","123.26","126.33","423,442"
08/20/2018,"120.97","123.61","120.72","123.27","237,753"
08/17/2018,"119.58","120.79","118.00","120.56","200,100"
08/16/2018,"117.35","120.23","117.00","119.91","192,831"
08/15/2018,"118.24","118.63","116.61","117.28","237,874"
08/14/2018,"115.96","118.90","115.75","118.73","164,052"
08/13/2018,"117.11","117.76","114.97","115.96","218,989"
08/10/2018,"117.74","118.47","117.03","117.19","147,196"
08/09/2018,"118.10","120.19","117.60","117.73","134,290"
08/08/2018,"121.02","121.45","117.79","117.87","216,581"
08/07/2018,"120.94","121.73","120.45","120.95","388,583"
08/06/2018,"119.74","121.58","118.79","121.20","269,426"
08/03/2018,"122.80","122.98","117.98","119.78","381,400"
08/02/2018,"116.65","122.79","113.85","122.35","617,615"
08/01/2018,"119.20","119.25","115.71","116.94","382,061"
07/31/2018,"117.84","119.56","117.70","119.11","189,178"
07/30/2018,"119.06","119.40","117.75","118.02","178,415"
07/27/2018,"122.24","122.26","118.66","119.13","292,469"
