Date,Open,High,Low,Close,Volume
12/31/2019,"129.51","131.02","128.70","128.76","246,077"
12/30/2019,"130.56","130.94","129.44","129.63","200,303"
12/27/2019,"130.95","131.27","129.84","130.56","149,886"
12/26/2019,"129.27","130.42","128.93","130.31","173,484"
12/24/2019,"129.29","129.58","128.51","128.93","71,503"
12/23/2019,"129.57","129.57","128.16","129.11","219,265"
12/20/2019,"128.78","129.77","127.51","129.13","1,315,508"
12/19/2019,"127.59","129.17","127.35","128.61","300,014"
12/18/2019,"127.00","128.30","126.05","127.92","308,422"
12/17/2019,"126.55","126.89","125.85","126.72","239,181"
12/16/2019,"126.90","127.76","125.92","126.27","314,445"
12/13/2019,"126.31","126.77","124.57","126.25","185,998"
12/12/2019,"125.66","128.00","125.51","126.12","246,343"
12/11/2019,"125.18","126.00","124.48","125.72","232,204"
12/10/2019,"124.32","125.04","122.82","124.98","246,177"
12/09/2019,"123.75","124.91","123.08","123.66","361,252"
12/06/2019,"125.00","125.90","123.54","123.84","266,088"
12/05/2019,"123.43","124.34","123.28","123.73","395,713"
12/04/2019,"121.41","123.65","121.41","123.13","239,220"
12/03/2019,"120.51","120.90","119.12","120.44","340,938"
12/02/2019,"122.35","122.83","120.72","121.96","227,276"
11/29/2019,"124.56","125.80","122.39","122.84","109,914"
11/27/2019,"125.82","126.09","124.54","125.00","256,191"
11/26/2019,"122.53","126.40","122.43","125.61","463,043"
11/25/2019,"120.88","122.93","120.86","121.89","330,074"
11/22/2019,"120.28","120.47","118.87","119.87","287,924"
11/21/2019,"119.83","120.01","118.35","119.46","427,028"
11/20/2019,"121.86","122.98","118.53","119.25","333,317"
11/19/2019,"121.97","123.34","121.32","122.75","326,555"
11/18/2019,"120.37","121.58","119.58","121.58","239,478"
11/15/2019,"120.24","122.19","120.00","120.51","290,768"
11/14/2019,"117.69","119.58","117.25","119.47","311,064"
11/13/2019,"116.53","117.82","116.37","117.02","244,087"
11/12/2019,"118.34","119.64","117.19","117.36","157,918"
11/11/2019,"116.52","118.03","116.01","118.00","144,029"
11/08/2019,"118.21","118.88","117.16","117.69","238,504"
11/07/2019,"119.56","120.61","117.51","118.23","306,594"
11/06/2019,"116.55","119.15","115.85","118.42","527,596"
11/05/2019,"115.00","117.70","113.22","115.80","368,057"
11/04/2019,"112.64","114.67","111.67","114.21","277,738"
11/01/2019,"110.57","112.47","110.07","112.26","222,517"
10/31/2019,"109.57","110.22","107.53","109.93","303,060"
10/30/2019,"111.28","111.59","108.80","109.90","215,080"
10/29/2019,"110.15","112.06","110.13","111.29","209,222"
10/28/2019,"110.00","110.98","109.54","110.07","294,108"
10/25/2019,"107.88","109.91","107.20","109.38","266,930"
10/24/2019,"108.83","109.25","107.08","108.29","183,986"
10/23/2019,"108.73","108.98","108.04","108.53","258,712"
10/22/2019,"109.59","109.75","108.55","108.80","230,304"
10/21/2019,"110.00","110.65","109.00","109.29","266,108"
10/18/2019,"108.64","109.38","107.79","108.63","222,413"
10/17/2019,"108.86","109.79","108.32","109.18","241,880"
10/16/2019,"107.48","108.96","107.42","108.45","173,782"
10/15/2019,"106.93","108.83","106.18","108.05","249,071"
10/14/2019,"106.66","107.31","104.54","106.43","511,039"
10/11/2019,"104.29","108.72","104.29","107.57","385,639"
10/10/2019,"103.09","104.28","102.00","102.19","278,416"
10/09/2019,"101.66","103.16","100.98","102.70","279,265"
10/08/2019,"101.15","101.64","99.89","100.21","380,827"
10/07/2019,"102.75","104.02","102.18","102.92","380,846"
10/04/2019,"102.06","103.59","101.87","102.85","375,814"
10/03/2019,"101.13","102.13","99.11","101.95","403,086"
10/02/2019,"99.73","101.98","99.01","101.87","362,297"
10/01/2019,"104.33","104.94","100.70","100.78","294,263"
