Date,Open,High,Low,Close,Volume
12/31/2018,"80.98","81.25","80.70","80.96","379,951"
12/28/2018,"81.53","81.58","80.61","80.72","722,831"
12/27/2018,"79.36","80.59","78.62","79.53","1,385,300"
12/26/2018,"80.66","80.95","79.66","80.90","544,499"
12/24/2018,"81.08","81.29","79.93","80.04","297,582"
12/21/2018,"81.71","82.29","80.78","80.78","677,489"
12/20/2018,"81.95","81.95","81.05","81.26","947,287"
12/19/2018,"82.51","82.72","81.29","81.50","812,259"
12/18/2018,"82.80","82.90","81.85","81.97","644,952"
12/17/2018,"84.05","84.07","82.51","82.78","526,439"
12/14/2018,"84.46","84.61","83.43","83.50","1,078,695"
12/13/2018,"86.01","86.10","85.10","85.14","1,408,055"
12/12/2018,"85.89","86.41","85.71","86.10","2,416,456"
12/11/2018,"85.55","85.59","84.91","85.19","2,410,388"
12/10/2018,"85.38","85.39","83.92","84.47","607,076"
12/07/2018,"85.49","85.69","85.00","85.21","1,481,787"
12/06/2018,"84.33","84.75","83.61","84.73","724,474"
12/04/2018,"86.32","86.50","85.32","85.40","394,592"
12/03/2018,"85.37","85.57","84.97","85.45","318,350"
11/30/2018,"85.41","85.51","85.03","85.22","369,666"
11/29/2018,"85.45","85.59","85.24","85.39","1,926,454"
11/28/2018,"84.66","85.08","84.07","85.05","796,132"
11/27/2018,"84.89","84.92","84.41","84.80","1,054,927"
11/26/2018,"84.64","84.83","84.48","84.66","227,352"
11/23/2018,"84.24","84.90","84.14","84.60","115,845"
11/21/2018,"83.86","84.70","83.75","84.39","831,786"
11/20/2018,"83.53","84.13","83.45","83.77","1,025,101"
11/19/2018,"84.09","84.26","83.40","83.53","822,645"
11/16/2018,"83.62","84.50","83.62","84.27","296,756"
11/15/2018,"83.99","84.00","83.13","83.65","450,989"
11/14/2018,"84.07","84.07","83.19","83.39","249,882"
11/13/2018,"83.71","84.33","83.59","84.27","578,017"
11/12/2018,"84.46","84.59","84.12","84.12","546,563"
11/09/2018,"84.78","84.94","84.58","84.87","499,890"
11/08/2018,"84.68","84.88","84.23","84.37","793,051"
11/07/2018,"84.47","84.67","84.29","84.67","480,492"
11/06/2018,"84.01","84.19","83.80","84.18","485,225"
11/05/2018,"84.23","84.28","83.81","83.95","765,718"
11/02/2018,"84.20","84.33","83.29","83.75","923,552"
11/01/2018,"84.70","84.88","84.33","84.80","287,561"
10/31/2018,"84.16","84.62","83.92","84.28","374,166"
10/30/2018,"83.38","84.23","83.25","84.16","420,705"
10/29/2018,"83.42","83.69","82.65","82.89","404,973"
10/26/2018,"84.13","84.30","83.29","83.84","802,966"
10/25/2018,"83.94","84.17","83.61","83.94","375,207"
10/24/2018,"83.96","84.07","83.01","83.24","590,427"
10/23/2018,"83.93","84.03","82.79","83.85","380,048"
10/22/2018,"83.38","83.59","83.01","83.49","407,178"
10/19/2018,"81.77","82.98","81.70","82.86","518,702"
10/18/2018,"79.65","80.06","79.29","79.51","343,682"
10/17/2018,"80.11","80.18","79.39","79.60","605,134"
10/16/2018,"80.68","81.00","80.60","80.95","418,896"
10/15/2018,"79.91","80.08","79.66","79.78","250,658"
10/12/2018,"80.22","80.22","78.98","79.45","741,974"
10/11/2018,"80.45","80.48","78.96","79.17","998,547"
10/10/2018,"82.25","82.37","80.95","81.04","344,789"
10/09/2018,"80.94","81.63","80.91","81.51","306,084"
10/08/2018,"81.26","81.68","81.25","81.66","192,061"
10/05/2018,"81.48","81.74","81.10","81.44","425,987"
10/04/2018,"82.26","82.49","82.04","82.49","805,037"
10/03/2018,"83.80","84.00","83.59","83.59","1,205,655"
10/02/2018,"83.27","83.59","83.16","83.47","688,249"
10/01/2018,"83.55","83.60","83.31","83.54","523,511"
09/28/2018,"83.44","83.94","83.17","83.20","431,751"
09/27/2018,"83.25","83.60","83.02","83.03","840,324"
09/26/2018,"82.98","83.77","82.94","83.69","671,306"
09/25/2018,"82.71","82.97","82.60","82.81","447,811"
09/24/2018,"83.69","83.72","82.67","82.67","282,451"
09/21/2018,"84.31","84.59","83.97","83.98","487,281"
09/20/2018,"84.02","84.46","83.88","84.37","388,487"
09/19/2018,"82.66","82.88","82.53","82.75","315,259"
09/18/2018,"83.71","83.94","83.20","83.24","231,800"
09/17/2018,"83.86","84.07","83.71","83.71","578,800"
09/14/2018,"84.22","84.22","83.87","84.01","185,454"
09/13/2018,"84.16","84.18","83.82","84.03","206,213"
09/12/2018,"83.43","83.87","83.40","83.79","254,233"
09/11/2018,"83.21","83.22","82.62","82.96","411,526"
09/10/2018,"83.41","83.75","83.28","83.35","269,370"
09/07/2018,"82.88","83.44","82.66","82.94","276,582"
09/06/2018,"82.28","82.97","82.25","82.93","251,570"
09/05/2018,"82.12","82.50","82.08","82.31","303,343"
09/04/2018,"82.33","82.65","82.28","82.61","289,429"
08/31/2018,"83.85","84.15","83.55","83.75","259,091"
08/30/2018,"83.65","83.81","83.35","83.43","450,802"
08/29/2018,"83.77","83.95","83.57","83.95","239,202"
08/28/2018,"83.34","83.56","83.06","83.09","403,684"
08/27/2018,"82.97","83.40","82.95","83.38","294,315"
08/24/2018,"82.72","83.08","82.66","82.78","185,468"
08/23/2018,"82.87","82.96","82.45","82.64","262,700"
08/22/2018,"83.15","83.16","82.58","82.71","304,627"
08/21/2018,"83.06","83.20","82.81","83.02","868,349"
08/20/2018,"82.16","82.54","82.08","82.49","598,364"
08/17/2018,"81.28","82.12","81.26","82.05","897,926"
08/16/2018,"81.48","81.69","81.42","81.48","216,507"
08/15/2018,"81.04","81.79","80.96","81.75","253,229"
08/14/2018,"81.50","81.74","81.37","81.63","512,849"
08/13/2018,"81.11","81.26","80.96","81.06","169,401"
08/10/2018,"81.41","81.56","80.76","81.01","249,220"
08/09/2018,"82.36","82.53","82.28","82.30","176,644"
08/08/2018,"82.29","82.46","82.05","82.43","262,718"
08/07/2018,"82.25","82.42","82.20","82.35","268,626"
08/06/2018,"81.67","82.00","81.58","81.82","133,843"
08/03/2018,"81.32","82.03","81.30","81.96","280,671"
08/02/2018,"81.59","81.74","81.09","81.43","471,702"
08/01/2018,"81.35","81.59","80.86","81.03","299,251"
07/31/2018,"81.81","81.85","81.35","81.51","256,376"
07/30/2018,"81.96","82.17","81.81","82.00","203,162"
07/27/2018,"81.66","81.85","81.52","81.56","286,017"
07/26/2018,"82.10","82.19","81.66","81.66","659,490"
07/25/2018,"80.34","80.89","80.03","80.86","1,238,012"
