Date,Open,High,Low,Close,Volume
12/31/2019,"108.07","108.80","107.43","108.26","364,839"
12/30/2019,"108.86","108.91","107.82","107.85","306,234"
12/27/2019,"109.08","109.41","108.86","108.98","346,839"
12/26/2019,"108.60","108.92","108.15","108.71","166,772"
12/24/2019,"108.16","108.85","108.16","108.59","175,083"
12/23/2019,"108.53","108.84","108.33","108.80","294,392"
12/20/2019,"107.73","108.23","107.62","108.09","381,484"
12/19/2019,"105.96","106.72","105.83","106.54","217,319"
12/18/2019,"106.91","107.10","105.77","106.05","346,107"
12/17/2019,"104.92","105.56","104.92","105.37","327,920"
12/16/2019,"106.15","106.42","105.59","105.91","413,213"
12/13/2019,"104.74","104.74","104.74","104.74","510,867"
12/12/2019,"104.61","104.99","104.14","104.49","863,617"
12/11/2019,"104.34","105.06","104.34","104.73","204,465"
12/10/2019,"104.23","104.65","104.06","104.30","379,289"
12/09/2019,"104.98","105.28","104.75","104.97","186,476"
12/06/2019,"104.81","104.87","104.56","104.79","194,047"
12/05/2019,"103.63","103.88","103.51","103.84","228,311"
12/04/2019,"103.46","103.80","103.10","103.69","306,387"
12/03/2019,"103.42","103.66","103.00","103.26","213,242"
12/02/2019,"103.76","103.82","103.02","103.67","377,216"
11/29/2019,"103.88","104.29","103.69","103.94","166,494"
11/27/2019,"104.15","104.54","104.02","104.38","226,329"
11/26/2019,"104.35","104.97","104.17","104.36","399,632"
11/25/2019,"104.28","104.65","104.22","104.50","249,910"
11/22/2019,"104.42","104.47","103.42","103.65","444,289"
11/21/2019,"104.37","104.67","103.78","103.87","538,021"
11/20/2019,"105.06","105.16","104.67","105.12","429,274"
11/19/2019,"104.90","105.18","104.63","104.72","379,666"
11/18/2019,"105.46","105.80","105.26","105.30","240,192"
11/15/2019,"105.10","105.44","104.91","105.28","226,299"
11/14/2019,"104.83","105.14","104.69","104.76","198,331"
11/13/2019,"105.60","106.05","105.53","106.01","393,916"
11/12/2019,"104.60","104.73","104.30","104.49","232,294"
11/11/2019,"104.70","105.12","104.64","105.08","155,452"
11/08/2019,"104.50","104.86","104.36","104.48","195,483"
11/07/2019,"104.71","105.00","104.40","104.43","225,912"
11/06/2019,"105.79","105.89","105.43","105.58","233,866"
11/05/2019,"104.74","104.79","104.18","104.73","217,123"
11/04/2019,"106.23","106.40","105.51","105.55","290,586"
11/01/2019,"107.20","107.22","106.22","106.66","229,335"
10/31/2019,"107.43","107.71","106.70","107.16","238,162"
10/30/2019,"106.95","107.10","106.20","107.03","361,919"
10/29/2019,"104.65","106.92","104.51","105.64","399,298"
10/28/2019,"105.15","105.60","104.93","105.19","838,758"
10/25/2019,"105.07","105.46","104.97","105.39","409,504"
10/24/2019,"104.76","105.07","104.60","104.96","525,030"
10/23/2019,"103.47","103.72","103.27","103.65","199,111"
10/22/2019,"103.38","103.82","103.24","103.27","541,465"
10/21/2019,"103.65","103.90","103.25","103.29","909,823"
10/18/2019,"105.00","105.07","104.50","104.59","3,273,549"
10/17/2019,"105.32","105.87","104.85","105.11","1,556,042"
10/16/2019,"106.23","106.48","106.00","106.29","227,667"
10/15/2019,"106.30","106.57","105.95","106.18","286,397"
10/14/2019,"106.97","107.09","106.04","106.04","154,768"
10/11/2019,"106.76","107.29","106.58","106.70","356,716"
10/10/2019,"107.20","108.02","107.08","107.64","268,187"
10/09/2019,"107.96","108.36","107.80","108.32","351,478"
10/08/2019,"108.51","108.59","107.46","107.58","656,178"
10/07/2019,"108.28","108.88","108.27","108.46","277,592"
10/04/2019,"107.19","107.85","107.18","107.80","281,522"
10/03/2019,"105.59","106.71","105.57","106.54","384,065"
10/02/2019,"106.65","106.90","105.26","105.56","637,473"
10/01/2019,"107.21","107.30","106.35","107.16","600,172"
09/30/2019,"107.97","108.73","107.96","108.40","224,540"
09/27/2019,"109.01","109.10","108.08","108.55","418,116"
09/26/2019,"108.93","109.27","108.36","108.58","375,575"
09/25/2019,"108.64","108.69","107.53","107.60","502,212"
09/24/2019,"108.87","109.74","108.82","109.42","422,002"
09/23/2019,"108.65","108.78","108.15","108.22","423,587"
09/20/2019,"107.99","108.22","107.04","107.65","545,023"
09/19/2019,"107.53","108.18","107.52","107.75","270,909"
09/18/2019,"107.63","107.81","106.77","107.02","293,704"
09/17/2019,"106.92","107.96","106.87","107.50","226,049"
09/16/2019,"106.59","106.67","105.85","105.89","231,820"
09/13/2019,"108.13","108.60","107.13","107.15","689,254"
09/12/2019,"110.30","111.19","110.09","110.91","551,780"
09/11/2019,"108.33","110.38","108.33","109.75","443,685"
09/10/2019,"109.46","110.30","108.89","109.50","1,187,398"
09/09/2019,"112.83","112.90","111.69","111.71","338,929"
09/06/2019,"113.48","114.87","113.45","114.65","228,900"
09/05/2019,"114.37","114.39","113.20","113.22","207,020"
09/04/2019,"113.20","114.50","113.11","114.35","253,818"
09/03/2019,"112.28","112.76","112.13","112.37","554,212"
08/30/2019,"112.48","112.86","111.90","112.39","206,835"
08/29/2019,"112.11","112.20","111.60","111.76","293,505"
08/28/2019,"111.02","111.44","110.68","111.16","447,169"
08/27/2019,"110.45","111.15","110.24","110.79","375,083"
08/26/2019,"110.45","110.71","110.15","110.42","312,183"
08/23/2019,"110.51","110.98","109.79","109.99","256,980"
08/22/2019,"109.86","110.40","109.73","110.38","273,274"
08/21/2019,"111.10","111.19","110.51","110.52","573,103"
08/20/2019,"111.14","111.15","110.02","110.18","181,276"
08/19/2019,"110.72","111.42","110.70","110.95","253,246"
08/16/2019,"109.55","110.49","109.55","110.04","282,180"
08/15/2019,"108.89","109.43","108.35","108.85","641,277"
08/14/2019,"108.99","109.32","108.44","108.61","310,327"
08/13/2019,"109.39","109.70","109.11","109.35","300,816"
08/12/2019,"110.22","110.60","109.35","109.63","202,697"
08/09/2019,"109.45","110.00","109.05","109.79","392,704"
08/08/2019,"107.62","108.80","107.41","108.60","292,753"
08/07/2019,"106.10","107.51","106.00","107.29","225,209"
08/06/2019,"105.71","105.93","104.74","105.49","343,009"
08/05/2019,"106.08","106.16","104.78","105.04","374,330"
08/02/2019,"107.50","107.50","106.29","107.14","998,564"
08/01/2019,"105.82","107.60","105.82","107.12","588,792"
07/31/2019,"106.29","107.10","105.37","106.08","300,914"
07/30/2019,"106.13","106.33","105.81","106.32","498,840"
07/29/2019,"106.53","106.59","105.86","106.21","373,042"
07/26/2019,"105.42","105.50","104.63","104.80","344,361"
07/25/2019,"104.03","104.08","102.51","103.24","317,536"
07/24/2019,"104.01","104.55","103.81","104.26","309,217"
07/23/2019,"105.06","105.19","104.59","104.63","263,504"
07/22/2019,"104.57","104.88","104.47","104.59","190,030"
07/19/2019,"105.02","105.20","104.09","104.42","200,591"
07/18/2019,"104.79","105.62","104.61","105.57","262,170"
07/17/2019,"104.91","105.23","104.41","104.60","505,873"
07/16/2019,"103.33","103.59","103.01","103.24","321,270"
07/15/2019,"103.94","104.16","103.53","103.70","344,141"
07/12/2019,"103.11","103.37","102.72","102.83","548,822"
07/11/2019,"103.80","103.82","102.87","102.94","306,693"
07/10/2019,"103.94","104.20","103.42","103.82","264,655"
07/09/2019,"103.29","103.89","103.29","103.72","226,214"
07/08/2019,"103.88","104.21","103.70","103.87","148,879"
07/05/2019,"103.06","103.28","102.63","103.28","255,380"
07/03/2019,"103.65","104.11","103.61","103.84","209,444"
07/02/2019,"103.50","103.93","103.50","103.82","568,978"
07/01/2019,"102.66","102.79","101.76","102.14","267,300"
06/28/2019,"103.54","103.78","103.28","103.40","215,733"
06/27/2019,"102.54","108.90","102.35","102.76","251,037"
06/26/2019,"103.33","103.43","102.65","102.69","375,684"
06/25/2019,"103.70","103.99","103.09","103.14","615,591"
06/24/2019,"104.08","104.38","103.70","103.70","577,178"
06/21/2019,"103.14","103.90","103.09","103.41","256,781"
06/20/2019,"103.88","104.10","103.70","103.83","484,872"
06/19/2019,"101.45","102.05","101.08","101.95","843,351"
06/18/2019,"102.53","102.55","101.99","102.22","661,454"
06/17/2019,"101.38","101.95","101.36","101.75","280,220"
06/14/2019,"101.87","101.98","101.39","101.71","428,580"
06/13/2019,"101.86","101.92","101.28","101.39","432,944"
06/12/2019,"102.34","102.63","101.91","101.94","189,182"
06/11/2019,"102.01","102.06","101.68","101.81","467,787"
06/10/2019,"101.95","102.43","101.84","102.18","374,316"
06/07/2019,"102.22","103.12","102.18","102.46","353,633"
06/06/2019,"101.20","101.73","101.17","101.42","224,736"
06/05/2019,"101.00","101.34","100.83","100.95","203,301"
06/04/2019,"101.16","101.19","99.91","100.40","318,376"
06/03/2019,"100.67","102.00","100.37","101.97","474,042"
05/31/2019,"99.19","99.33","98.86","99.16","461,328"
05/30/2019,"97.47","98.01","97.47","97.99","299,755"
05/29/2019,"97.46","97.84","97.30","97.75","290,379"
05/28/2019,"98.31","98.42","97.50","97.69","342,302"
05/24/2019,"98.98","99.15","98.70","99.08","360,872"
05/23/2019,"98.56","99.02","98.41","98.83","740,667"
05/22/2019,"98.25","99.08","98.14","98.91","357,532"
05/21/2019,"98.42","98.50","97.84","98.01","310,410"
05/20/2019,"98.50","98.90","98.25","98.66","325,737"
05/17/2019,"98.92","99.13","98.67","98.80","363,699"
05/16/2019,"98.55","99.46","98.53","99.34","251,745"
05/15/2019,"96.88","97.99","96.87","97.90","438,027"
05/14/2019,"96.70","96.85","96.50","96.62","258,415"
05/13/2019,"96.39","97.00","96.19","96.81","930,423"
05/10/2019,"96.18","97.00","96.16","97.00","468,597"
