Date,Open,High,Low,Close,Volume
12/31/2018,"110.58","111.09","109.32","110.48","5,019,173"
12/28/2018,"110.09","111.10","109.22","110.36","5,410,371"
12/27/2018,"107.77","109.47","106.03","109.42","5,175,858"
12/26/2018,"106.22","108.44","105.03","108.33","4,537,048"
12/24/2018,"110.13","111.09","105.96","106.03","3,354,049"
12/21/2018,"110.96","114.16","108.81","109.42","13,263,620"
12/20/2018,"110.20","111.93","109.20","110.21","8,468,311"
12/19/2018,"112.63","113.19","109.63","110.04","6,915,432"
12/18/2018,"113.22","113.53","110.75","111.84","5,846,156"
12/17/2018,"114.37","115.07","112.20","112.87","6,015,296"
12/14/2018,"117.32","117.55","113.67","113.95","7,404,239"
12/13/2018,"117.14","118.89","117.11","118.35","6,181,237"
12/12/2018,"118.34","118.59","116.41","117.00","4,889,715"
12/11/2018,"116.90","118.19","116.68","117.29","5,545,054"
12/10/2018,"116.40","116.62","114.46","116.19","4,150,858"
12/07/2018,"116.37","116.98","115.38","115.82","4,615,881"
12/06/2018,"116.31","117.38","114.10","116.84","5,191,681"
12/04/2018,"119.37","120.61","117.45","117.80","7,018,210"
12/03/2018,"120.48","120.91","117.51","118.98","6,112,959"
11/30/2018,"118.13","122.00","118.13","121.94","8,051,115"
11/29/2018,"118.40","118.87","117.44","118.27","2,878,675"
11/28/2018,"115.98","118.52","115.57","118.50","3,989,365"
11/27/2018,"115.37","116.53","114.90","116.44","2,884,749"
11/26/2018,"115.88","116.43","114.99","115.86","2,972,459"
11/23/2018,"114.78","116.57","114.78","115.41","1,444,727"
11/21/2018,"115.89","116.89","114.92","115.28","3,245,054"
11/20/2018,"119.80","120.28","115.78","116.00","5,088,238"
11/19/2018,"118.08","119.52","117.97","119.01","4,673,935"
11/16/2018,"117.05","118.48","116.84","118.35","4,484,333"
11/15/2018,"116.43","116.99","115.60","116.80","4,045,746"
11/14/2018,"117.44","117.48","116.27","116.65","4,423,812"
11/13/2018,"117.75","117.75","116.21","117.14","3,609,927"
11/12/2018,"117.00","118.32","116.71","116.97","4,781,899"
