Date,Open,High,Low,Close,Volume
12/31/2019,"136.69","137.26","136.03","136.67","3,229,369"
12/30/2019,"136.70","137.97","136.48","136.81","3,024,941"
12/27/2019,"136.88","137.58","136.63","137.54","2,554,025"
12/26/2019,"136.86","137.34","136.10","136.69","2,935,081"
12/24/2019,"137.09","137.38","136.27","136.89","1,220,629"
12/23/2019,"137.69","138.13","136.84","137.04","2,992,896"
12/20/2019,"137.41","138.13","135.16","137.92","10,311,280"
12/19/2019,"136.22","136.74","135.95","136.47","3,921,726"
12/18/2019,"137.05","137.30","135.63","135.97","5,370,538"
12/17/2019,"137.05","137.44","135.69","136.17","5,491,845"
12/16/2019,"136.95","137.52","136.16","137.06","4,701,155"
12/13/2019,"136.93","138.25","136.19","137.94","3,557,861"
12/12/2019,"136.80","137.90","136.75","137.18","3,502,138"
12/11/2019,"137.05","137.54","136.32","137.10","3,339,278"
12/10/2019,"137.61","137.61","136.17","136.27","2,940,212"
12/09/2019,"137.15","138.04","137.00","137.16","3,927,667"
12/06/2019,"136.67","137.69","136.34","137.36","3,216,924"
12/05/2019,"136.19","136.54","135.27","136.34","3,351,990"
12/04/2019,"134.95","137.37","134.54","137.30","4,228,878"
12/03/2019,"136.66","136.66","134.32","135.46","5,119,578"
12/02/2019,"136.65","136.65","134.44","135.88","3,866,346"
11/29/2019,"136.06","136.42","135.26","135.83","2,978,437"
11/27/2019,"135.70","136.52","135.33","135.91","2,476,283"
11/26/2019,"134.29","135.87","133.87","135.70","4,947,826"
11/25/2019,"134.66","134.78","133.21","133.83","3,612,786"
11/22/2019,"133.92","134.53","133.02","134.07","3,014,865"
11/21/2019,"133.43","134.21","133.09","133.91","3,391,228"
11/20/2019,"134.31","135.20","133.40","133.74","3,047,718"
11/19/2019,"134.65","135.06","134.07","134.57","3,019,092"
11/18/2019,"134.00","135.69","133.91","134.06","3,619,873"
11/15/2019,"133.66","133.92","132.80","133.81","3,648,701"
11/14/2019,"133.60","133.91","132.73","133.33","2,142,100"
11/13/2019,"132.63","133.57","132.01","133.29","3,194,724"
11/12/2019,"132.68","132.68","131.59","131.98","3,246,698"
11/11/2019,"133.03","133.03","131.97","132.39","2,227,544"
11/08/2019,"133.29","134.13","132.57","133.13","2,603,954"
11/07/2019,"134.41","134.50","133.12","133.32","3,338,757"
11/06/2019,"134.50","134.88","133.55","134.44","3,645,614"
11/05/2019,"134.83","135.10","132.60","134.01","4,300,812"
11/04/2019,"136.80","137.10","134.73","135.16","3,202,380"
11/01/2019,"137.55","138.34","136.70","136.93","3,054,900"
10/31/2019,"136.80","137.53","136.10","137.17","4,492,250"
10/30/2019,"135.86","137.29","135.41","136.90","2,653,724"
10/29/2019,"136.83","137.12","135.94","136.08","2,550,254"
10/28/2019,"136.55","137.55","136.15","136.57","3,212,595"
10/25/2019,"137.78","137.92","136.23","136.64","2,520,038"
10/24/2019,"137.70","138.11","136.79","137.89","2,311,103"
10/23/2019,"136.61","137.50","136.61","137.45","2,332,068"
10/22/2019,"136.65","137.35","136.31","136.66","3,395,610"
10/21/2019,"136.34","136.74","135.66","136.12","3,170,699"
10/18/2019,"137.27","137.37","136.23","136.25","3,630,795"
10/17/2019,"137.07","137.62","136.60","136.96","2,466,495"
10/16/2019,"136.14","136.49","135.58","136.42","2,812,979"
10/15/2019,"137.48","137.95","136.16","136.33","3,395,335"
10/14/2019,"137.84","138.30","137.24","137.45","2,386,269"
10/11/2019,"138.08","138.70","137.09","137.64","2,779,534"
10/10/2019,"137.11","138.25","136.64","137.89","2,303,335"
10/09/2019,"137.32","138.17","136.83","137.85","3,089,472"
10/08/2019,"137.65","138.45","137.08","137.24","4,848,087"
10/07/2019,"139.29","139.61","137.97","138.34","4,377,580"
10/04/2019,"137.84","140.45","137.62","140.28","5,319,752"
10/03/2019,"138.44","139.75","136.50","137.93","9,742,607"
10/02/2019,"136.89","137.38","133.49","133.94","5,804,773"
10/01/2019,"136.93","137.94","136.09","137.37","3,712,057"
09/30/2019,"136.07","137.73","135.87","137.10","3,911,466"
09/27/2019,"136.24","136.24","134.67","135.60","3,559,446"
09/26/2019,"135.87","136.33","135.01","135.72","4,479,586"
09/25/2019,"135.21","135.66","134.51","135.09","3,602,062"
09/24/2019,"136.25","136.45","134.58","135.36","4,885,280"
09/23/2019,"134.96","135.75","134.96","135.44","3,501,488"
09/20/2019,"135.00","135.76","134.48","134.71","6,765,445"
09/19/2019,"135.41","135.84","135.08","135.48","2,830,949"
09/18/2019,"135.81","136.00","134.10","135.50","2,695,692"
09/17/2019,"134.96","136.31","134.51","135.70","4,026,765"
09/16/2019,"136.39","136.50","134.38","134.88","2,953,553"
