Date,Open,High,Low,Close,Volume
12/31/2018,"52.56","53.43","52.43","53.40","2,366,041"
12/28/2018,"52.45","52.93","51.94","52.34","3,178,741"
12/27/2018,"51.73","52.49","50.80","52.49","2,340,073"
12/26/2018,"50.96","52.08","49.77","52.06","2,820,034"
12/24/2018,"51.81","52.00","50.33","50.75","1,413,119"
12/21/2018,"53.34","54.48","51.73","51.73","4,343,154"
12/20/2018,"52.53","53.90","51.85","53.34","3,524,955"
12/19/2018,"52.69","54.50","52.52","52.67","4,529,838"
12/18/2018,"53.50","54.04","52.15","52.38","4,200,122"
12/17/2018,"55.22","55.37","53.06","53.47","3,870,768"
12/14/2018,"55.62","56.02","55.17","55.30","2,517,292"
12/13/2018,"55.67","56.30","55.46","56.08","4,136,405"
12/12/2018,"56.36","56.66","55.65","55.68","3,074,213"
12/11/2018,"55.60","56.74","55.54","55.80","2,365,412"
12/10/2018,"56.24","56.37","54.48","55.41","3,493,359"
12/07/2018,"57.62","57.93","55.87","56.21","2,957,278"
12/06/2018,"58.25","58.75","56.82","57.90","2,480,041"
12/04/2018,"60.08","60.40","57.81","58.24","4,349,692"
12/03/2018,"58.70","60.34","58.70","60.27","3,193,873"
11/30/2018,"57.85","58.97","57.79","58.95","3,247,053"
11/29/2018,"56.82","57.73","56.36","57.72","3,968,395"
11/28/2018,"58.14","58.36","56.72","56.99","4,299,877"
11/27/2018,"59.26","59.31","58.12","58.34","1,988,207"
11/26/2018,"59.20","59.50","58.87","59.46","1,300,051"
11/23/2018,"58.72","59.17","58.43","58.89","593,878"
11/21/2018,"58.90","59.40","58.60","58.91","1,632,680"
11/20/2018,"59.46","60.38","58.71","58.82","2,232,637"
11/19/2018,"60.23","60.49","59.21","59.42","2,435,495"
11/16/2018,"59.08","60.38","58.69","60.22","2,391,628"
11/15/2018,"58.40","59.31","57.77","59.03","2,699,092"
11/14/2018,"58.29","59.96","57.76","58.76","4,482,568"
11/13/2018,"59.05","59.99","57.01","58.17","7,845,926"
11/12/2018,"61.86","63.35","61.46","61.61","2,919,564"
11/09/2018,"61.81","62.24","61.34","62.08","3,828,595"
11/08/2018,"61.75","62.01","61.38","61.50","3,176,202"
11/07/2018,"62.48","62.48","61.43","62.04","2,450,588"
11/06/2018,"61.79","62.93","61.64","62.02","2,660,451"
11/05/2018,"61.74","62.85","61.57","62.04","1,911,580"
11/02/2018,"62.43","62.92","61.12","61.56","2,170,463"
11/01/2018,"59.91","62.51","59.65","62.36","2,754,723"
10/31/2018,"61.88","61.96","59.53","59.92","3,871,896"
10/30/2018,"61.87","62.49","60.90","62.10","2,551,891"
10/29/2018,"61.02","62.54","60.70","61.56","2,695,867"
10/26/2018,"61.63","61.65","60.25","60.47","1,746,320"
10/25/2018,"61.56","62.13","60.95","61.68","1,683,821"
10/24/2018,"62.15","62.83","61.63","61.71","2,656,483"
