Date,Open,High,Low,Close,Volume
12/31/2019,"90.36","91.10","90.23","91.04","1,125,123"
12/30/2019,"91.25","91.37","90.11","90.34","1,093,191"
12/27/2019,"91.43","91.62","90.68","91.42","1,026,508"
12/26/2019,"91.15","91.92","90.96","91.30","1,083,435"
12/24/2019,"91.89","91.90","90.95","91.15","564,201"
12/23/2019,"90.82","92.08","89.82","91.39","2,820,807"
12/20/2019,"90.37","91.42","89.50","90.86","5,096,004"
12/19/2019,"89.13","91.33","89.13","89.74","4,144,272"
12/18/2019,"90.82","90.97","88.72","88.86","3,041,831"
12/17/2019,"90.17","90.97","89.86","90.38","2,907,830"
12/16/2019,"88.69","90.54","88.62","89.95","2,857,827"
12/13/2019,"87.29","88.81","86.66","87.97","2,266,345"
12/12/2019,"88.12","89.13","87.46","87.51","2,499,449"
12/11/2019,"88.39","89.06","87.69","88.49","2,312,499"
12/10/2019,"89.56","89.70","88.49","88.61","2,102,553"
12/09/2019,"89.35","90.22","89.11","89.67","1,557,461"
12/06/2019,"90.53","91.38","89.38","89.45","2,060,974"
12/05/2019,"89.13","89.67","88.68","89.46","1,423,507"
12/04/2019,"89.11","90.15","88.89","89.24","1,777,870"
12/03/2019,"88.47","89.10","87.72","88.95","2,276,666"
12/02/2019,"89.88","90.09","88.77","89.58","2,156,539"
11/29/2019,"90.00","90.51","89.51","89.89","1,081,210"
11/27/2019,"89.46","90.36","88.94","90.09","1,285,725"
11/26/2019,"88.49","89.84","88.04","89.70","2,413,382"
11/25/2019,"86.57","88.85","85.78","88.63","2,927,384"
11/22/2019,"88.59","88.72","86.28","86.41","3,142,179"
11/21/2019,"90.21","90.78","88.33","88.53","2,410,801"
11/20/2019,"90.31","91.15","90.06","90.62","2,185,373"
11/19/2019,"89.89","90.76","89.46","90.54","2,405,857"
11/18/2019,"90.00","90.96","89.36","89.98","2,070,197"
11/15/2019,"90.25","91.02","89.73","90.33","2,513,195"
11/14/2019,"93.06","94.11","89.76","90.34","5,240,346"
11/13/2019,"89.29","90.44","88.61","88.87","3,982,674"
11/12/2019,"83.63","89.22","83.63","88.88","6,485,106"
11/11/2019,"82.32","83.18","81.78","82.73","2,418,193"
11/08/2019,"83.29","83.38","82.12","82.63","2,290,154"
11/07/2019,"83.47","84.84","82.81","83.25","1,940,419"
11/06/2019,"82.49","83.83","82.33","83.47","1,520,219"
11/05/2019,"82.25","82.70","81.70","81.93","2,199,334"
11/04/2019,"83.67","83.93","81.59","82.05","2,349,172"
11/01/2019,"83.11","84.17","82.69","83.70","1,629,412"
10/31/2019,"82.20","82.86","81.64","82.79","1,754,111"
10/30/2019,"82.19","82.46","81.28","81.79","1,565,873"
10/29/2019,"82.00","83.09","81.82","82.29","2,757,348"
10/28/2019,"81.41","82.49","80.42","82.08","4,049,613"
10/25/2019,"78.73","78.73","77.75","78.48","1,593,355"
10/24/2019,"77.69","77.95","77.03","77.82","3,217,741"
10/23/2019,"79.08","79.15","77.48","77.50","2,637,666"
10/22/2019,"81.14","81.14","79.07","79.17","2,743,403"
10/21/2019,"81.66","82.05","80.79","80.97","1,867,484"
10/18/2019,"81.59","82.61","81.50","82.42","1,880,777"
10/17/2019,"81.78","81.88","79.36","81.37","3,485,591"
10/16/2019,"83.83","83.89","81.82","81.86","2,512,409"
10/15/2019,"84.02","85.04","83.66","83.74","1,865,883"
10/14/2019,"83.76","84.44","83.41","84.06","1,615,617"
10/11/2019,"82.06","84.25","82.01","83.60","2,382,531"
10/10/2019,"81.90","83.17","81.45","82.13","1,527,965"
10/09/2019,"80.99","83.09","80.99","81.73","2,008,865"
10/08/2019,"81.00","81.20","79.39","80.43","2,416,689"
10/07/2019,"82.16","82.31","81.16","81.16","2,645,232"
10/04/2019,"82.15","82.96","80.85","82.25","3,381,413"
10/03/2019,"82.68","82.86","81.73","82.10","2,155,095"
10/02/2019,"83.32","83.92","81.82","82.37","2,399,138"
10/01/2019,"85.92","86.38","83.10","83.32","2,562,704"
09/30/2019,"85.37","86.26","84.79","86.14","2,156,050"
09/27/2019,"86.60","86.61","84.96","85.20","1,637,863"
09/26/2019,"86.44","86.86","85.90","86.46","1,179,783"
09/25/2019,"86.48","87.48","85.82","85.97","1,940,469"
09/24/2019,"86.40","86.90","85.57","86.28","1,340,985"
09/23/2019,"87.11","87.57","85.68","85.79","1,678,029"
09/20/2019,"88.48","88.86","86.73","87.39","2,979,594"
09/19/2019,"88.69","88.94","87.77","88.17","1,347,415"
09/18/2019,"88.98","89.46","87.40","88.27","1,956,697"
09/17/2019,"87.62","89.35","87.00","88.88","3,314,268"
09/16/2019,"84.64","86.60","84.39","86.34","2,168,508"
09/13/2019,"84.00","86.54","84.00","85.17","3,417,820"
09/12/2019,"82.90","83.85","82.53","83.47","3,509,948"
09/11/2019,"81.35","82.33","80.84","82.32","2,211,397"
09/10/2019,"83.03","83.03","80.00","81.46","3,677,407"
09/09/2019,"86.41","86.69","83.23","83.56","2,917,033"
09/06/2019,"85.23","86.53","84.71","86.04","3,076,503"
09/05/2019,"86.41","87.35","84.93","85.26","5,304,593"
09/04/2019,"91.00","91.68","85.95","86.06","6,912,584"
09/03/2019,"92.60","93.45","92.08","93.29","2,505,253"
08/30/2019,"92.28","94.07","92.16","93.04","2,033,488"
08/29/2019,"90.50","92.21","90.19","91.72","2,080,575"
08/28/2019,"90.28","90.66","88.94","90.58","1,918,311"
08/27/2019,"91.37","91.63","89.28","89.97","2,471,260"
08/26/2019,"90.58","91.47","90.12","91.44","1,697,349"
08/23/2019,"90.36","90.75","89.48","89.93","2,241,456"
08/22/2019,"90.00","91.73","89.90","91.66","2,773,269"
08/21/2019,"88.60","89.86","87.90","89.79","2,378,283"
08/20/2019,"87.03","88.76","86.72","88.24","2,999,350"
08/19/2019,"88.36","88.48","87.22","87.47","3,064,655"
08/16/2019,"88.27","88.27","87.27","87.70","1,712,820"
08/15/2019,"86.20","88.73","86.01","87.86","2,422,033"
08/14/2019,"87.13","87.67","85.53","85.76","2,316,490"
08/13/2019,"88.41","89.88","87.77","87.82","2,523,366"
08/12/2019,"87.09","88.60","86.43","88.27","3,064,127"
08/09/2019,"88.59","89.34","87.67","88.37","2,119,147"
08/08/2019,"86.00","89.00","86.00","88.70","2,877,314"
08/07/2019,"84.45","86.63","82.84","86.21","2,885,636"
08/06/2019,"84.53","85.85","82.00","85.02","4,440,949"
08/05/2019,"83.14","87.29","82.58","83.83","9,458,311"
08/02/2019,"80.14","81.26","79.76","79.76","3,184,173"
08/01/2019,"79.79","81.55","79.76","80.39","3,001,260"
07/31/2019,"81.11","81.53","78.66","79.50","2,377,438"
07/30/2019,"81.59","82.33","80.66","81.33","1,711,807"
07/29/2019,"81.00","81.60","80.83","81.25","1,859,580"
07/26/2019,"81.85","81.85","80.70","80.98","2,419,310"
07/25/2019,"81.06","82.79","80.90","81.67","1,657,302"
07/24/2019,"81.65","82.08","80.73","81.04","1,917,361"
07/23/2019,"81.48","82.36","81.35","82.03","1,351,378"
07/22/2019,"80.83","81.51","80.54","81.33","1,442,617"
07/19/2019,"81.11","81.75","80.79","80.80","1,900,948"
07/18/2019,"79.80","81.29","79.03","80.96","2,896,311"
07/17/2019,"79.46","79.54","78.58","79.14","2,271,961"
07/16/2019,"81.45","81.61","78.99","79.13","3,635,618"
07/15/2019,"81.51","81.92","81.19","81.75","1,368,142"
07/12/2019,"81.50","81.91","80.55","81.38","1,663,907"
07/11/2019,"81.75","82.09","80.71","81.43","2,220,430"
07/10/2019,"82.66","82.81","81.87","82.03","1,314,245"
07/09/2019,"82.15","82.79","81.85","82.15","2,028,674"
07/08/2019,"82.52","82.81","81.56","81.92","2,580,377"
07/05/2019,"82.00","82.91","81.43","82.63","1,762,177"
07/03/2019,"81.30","82.41","81.30","82.16","1,758,151"
07/02/2019,"81.04","81.79","80.86","81.28","3,162,200"
07/01/2019,"81.50","81.83","80.34","80.96","2,979,203"
06/28/2019,"79.74","80.81","79.45","80.74","3,028,961"
06/27/2019,"79.28","79.86","78.43","79.65","1,572,545"
06/26/2019,"79.45","80.15","78.77","79.52","2,476,697"
06/25/2019,"81.19","83.15","77.38","79.97","6,808,325"
06/24/2019,"79.40","81.62","79.38","80.82","3,249,817"
06/21/2019,"78.89","79.77","78.10","79.29","4,573,057"
06/20/2019,"77.77","79.20","76.59","78.63","3,236,445"
06/19/2019,"76.89","77.84","75.69","77.76","3,091,596"
06/18/2019,"78.62","78.78","76.73","77.18","3,769,948"
06/17/2019,"82.01","82.20","78.25","78.53","4,043,270"
06/14/2019,"82.26","82.64","81.13","81.91","3,795,299"
06/13/2019,"83.22","84.30","82.06","82.53","4,521,189"
06/12/2019,"82.47","82.89","81.60","81.89","1,321,489"
06/11/2019,"82.60","82.87","81.57","82.31","1,883,271"
06/10/2019,"82.51","83.15","82.17","82.49","1,850,791"
06/07/2019,"82.11","82.91","81.97","82.45","2,231,922"
06/06/2019,"80.88","82.18","80.53","81.80","3,755,227"
06/05/2019,"79.98","81.34","79.61","80.61","2,928,723"
06/04/2019,"78.11","79.39","78.11","79.33","2,968,925"
06/03/2019,"76.12","78.50","76.05","78.06","4,201,957"
05/31/2019,"76.02","76.09","74.83","75.89","4,132,743"
05/30/2019,"76.08","77.39","75.97","76.74","2,631,935"
05/29/2019,"79.54","79.61","76.06","76.28","5,743,733"
05/28/2019,"81.80","82.44","80.20","80.31","2,531,561"
05/24/2019,"81.89","82.34","81.22","81.46","1,526,011"
05/23/2019,"80.54","81.72","79.84","81.71","2,388,334"
05/22/2019,"80.79","81.54","80.11","81.26","2,260,983"
05/21/2019,"81.88","82.02","80.15","80.61","3,985,464"
05/20/2019,"82.32","82.90","81.75","81.87","2,500,671"
05/17/2019,"81.97","83.36","81.80","82.49","2,664,881"
05/16/2019,"82.40","83.16","82.31","82.60","2,979,782"
05/15/2019,"81.70","82.61","80.85","82.24","3,438,815"
05/14/2019,"80.22","82.04","80.03","81.57","3,415,642"
05/13/2019,"79.00","79.94","78.60","79.57","2,749,374"
05/10/2019,"77.89","79.90","77.00","79.81","2,767,708"
05/09/2019,"77.33","78.07","76.51","77.94","2,663,295"
05/08/2019,"76.92","78.15","76.19","77.49","3,491,781"
05/07/2019,"77.14","77.63","75.97","76.85","3,468,452"
05/06/2019,"74.79","77.47","74.55","77.05","4,517,012"
05/03/2019,"75.25","75.70","74.64","75.09","3,075,162"
05/02/2019,"74.95","75.59","74.56","75.12","1,781,126"
05/01/2019,"75.00","75.55","74.64","74.80","2,403,402"
04/30/2019,"74.37","75.40","73.81","75.01","2,854,836"
04/29/2019,"74.02","74.49","73.68","74.20","1,601,572"
04/26/2019,"73.76","74.25","73.25","74.16","1,953,064"
