Date,Open,High,Low,Close,Volume
12/31/2018,"109.11","109.67","107.55","109.65","7,241,715"
12/28/2018,"107.28","108.52","106.19","107.30","7,620,457"
12/27/2018,"104.41","106.55","102.80","106.52","8,201,369"
12/26/2018,"100.49","105.85","100.38","105.83","9,422,844"
12/24/2018,"103.23","103.90","100.35","100.35","7,132,955"
12/21/2018,"106.47","108.75","103.86","104.22","15,530,620"
12/20/2018,"108.75","109.21","106.13","107.00","9,387,252"
12/19/2018,"110.00","112.13","108.95","109.22","9,416,918"
12/18/2018,"110.87","111.08","108.90","109.45","6,682,315"
12/17/2018,"112.29","112.89","110.03","110.62","7,731,768"
12/14/2018,"112.37","113.92","112.05","112.20","7,602,301"
12/13/2018,"112.87","113.60","112.34","113.39","6,661,534"
12/12/2018,"113.00","113.98","112.15","112.21","7,723,872"
12/11/2018,"112.97","113.72","111.43","111.97","6,861,759"
12/10/2018,"111.99","112.29","109.53","111.86","7,337,457"
12/07/2018,"113.86","113.99","111.61","111.98","8,305,465"
12/06/2018,"112.06","114.34","111.16","114.33","10,546,190"
12/04/2018,"115.62","116.29","112.66","112.87","10,806,740"
12/03/2018,"116.65","116.92","114.91","115.74","9,272,917"
11/30/2018,"116.84","117.07","115.06","115.49","16,857,779"
11/29/2018,"115.75","117.14","115.21","116.61","10,834,830"
11/28/2018,"114.32","116.30","114.05","116.10","9,039,821"
11/27/2018,"113.61","114.10","112.41","113.90","7,357,599"
11/26/2018,"113.18","113.18","111.92","112.55","7,002,353"
11/23/2018,"112.24","112.79","111.74","112.08","3,242,322"
11/21/2018,"112.50","113.99","112.30","113.03","7,242,467"
11/20/2018,"113.52","114.59","111.52","111.87","11,194,640"
11/19/2018,"116.00","117.83","114.79","115.42","9,714,594"
11/16/2018,"116.53","117.34","115.99","116.19","7,142,193"
11/15/2018,"116.49","117.43","115.70","117.11","7,088,665"
11/14/2018,"117.44","118.22","116.44","117.12","7,109,122"
11/13/2018,"117.11","117.78","116.18","116.85","4,650,588"
11/12/2018,"118.00","118.46","116.60","116.70","9,170,870"
11/09/2018,"118.20","120.20","117.18","118.00","16,878,230"
11/08/2018,"117.45","117.83","115.21","116.00","11,074,780"
11/07/2018,"116.57","117.29","115.16","117.05","8,249,836"
11/06/2018,"115.74","116.84","115.45","116.71","5,036,606"
11/05/2018,"115.74","116.22","115.12","115.45","7,921,106"
11/02/2018,"116.83","116.95","114.37","115.18","6,377,852"
11/01/2018,"115.20","116.28","114.90","116.10","6,779,884"
10/31/2018,"116.23","116.52","114.68","114.83","9,196,670"
10/30/2018,"113.39","114.89","112.41","114.76","7,365,577"
10/29/2018,"114.45","114.94","111.96","113.04","9,234,069"
10/26/2018,"112.84","114.14","112.10","113.19","7,984,726"
10/25/2018,"112.62","114.69","112.12","114.16","7,406,869"
10/24/2018,"117.06","117.06","111.25","111.61","11,630,540"
10/23/2018,"116.95","118.49","115.41","117.85","8,607,373"
10/22/2018,"119.05","119.69","117.72","118.27","8,406,370"
10/19/2018,"117.42","119.17","117.22","118.90","10,430,990"
10/18/2018,"116.75","117.13","115.58","116.18","6,056,682"
10/17/2018,"116.10","117.22","115.43","117.13","7,120,646"
10/16/2018,"114.34","116.37","113.84","116.19","7,619,024"
10/15/2018,"111.93","114.62","111.89","113.44","6,628,815"
10/12/2018,"111.97","113.27","111.23","112.61","5,963,944"
10/11/2018,"112.50","113.25","110.32","111.15","10,045,630"
10/10/2018,"116.84","117.23","112.73","112.86","9,006,470"
10/09/2018,"116.62","117.77","116.04","116.89","6,761,416"
10/08/2018,"114.83","116.16","114.12","116.02","5,652,284"
10/05/2018,"116.00","116.58","114.73","114.78","5,836,074"
10/04/2018,"117.00","117.17","115.12","116.13","6,442,769"
10/03/2018,"117.95","118.10","116.74","116.91","6,111,663"
10/02/2018,"115.55","117.70","115.30","117.66","6,441,742"
10/01/2018,"117.28","117.40","115.68","116.24","8,644,469"
