Date,Open,High,Low,Close,Volume
12/31/2019,"143.67","144.77","143.26","144.63","5,663,965"
12/30/2019,"145.75","145.87","143.40","143.77","6,605,481"
12/27/2019,"146.05","146.51","145.45","145.75","5,497,500"
12/26/2019,"145.40","145.86","145.17","145.70","4,431,113"
12/24/2019,"144.58","145.43","144.45","145.29","3,508,541"
12/23/2019,"145.91","146.33","144.33","144.68","9,318,682"
12/20/2019,"147.15","147.88","145.77","146.88","12,631,870"
12/19/2019,"146.18","146.80","145.32","146.15","10,249,310"
12/18/2019,"147.77","147.95","146.19","146.26","9,472,498"
12/17/2019,"148.10","148.46","147.62","147.73","8,779,665"
12/16/2019,"147.59","148.65","146.55","148.46","9,146,339"
12/13/2019,"147.43","147.80","146.31","146.38","9,348,850"
12/12/2019,"147.92","148.93","147.25","147.76","7,763,316"
12/11/2019,"147.39","147.89","146.76","147.59","8,260,750"
12/10/2019,"145.26","146.85","145.05","146.10","7,089,746"
12/09/2019,"147.96","148.52","145.40","146.21","11,642,040"
12/06/2019,"148.40","148.61","147.18","147.66","7,087,551"
12/05/2019,"148.69","148.83","147.10","147.44","7,369,731"
12/04/2019,"149.30","149.33","148.18","148.28","7,686,996"
12/03/2019,"147.74","149.11","146.87","148.58","9,392,732"
12/02/2019,"152.94","152.97","149.10","150.62","10,365,740"
11/29/2019,"151.48","152.47","151.01","151.58","6,284,938"
11/27/2019,"152.30","152.57","151.15","151.48","6,166,318"
11/26/2019,"151.75","153.41","150.61","151.64","24,973,010"
11/25/2019,"148.80","150.21","147.70","149.69","11,329,310"
11/22/2019,"147.21","149.44","146.68","148.29","9,639,428"
11/21/2019,"147.16","147.47","146.26","146.90","6,241,359"
11/20/2019,"148.09","148.99","146.03","146.93","9,451,314"
11/19/2019,"148.18","149.48","146.80","148.38","11,508,730"
11/18/2019,"144.75","149.04","143.69","147.65","15,356,970"
11/15/2019,"147.14","147.20","144.21","144.67","13,749,340"
11/14/2019,"148.00","150.63","146.28","147.15","28,414,289"
11/13/2019,"138.58","149.92","136.84","148.72","46,491,398"
11/12/2019,"138.03","139.34","136.74","138.58","17,283,990"
11/11/2019,"137.50","138.56","136.21","136.74","10,144,900"
11/08/2019,"140.22","140.25","136.74","137.96","24,187,461"
11/07/2019,"132.35","133.70","131.75","132.96","18,047,600"
11/06/2019,"131.60","131.66","130.66","131.27","9,132,465"
11/05/2019,"132.77","132.77","130.89","131.45","7,404,474"
11/04/2019,"134.12","134.14","132.47","132.92","7,631,780"
11/01/2019,"130.99","132.80","130.51","132.75","8,507,567"
10/31/2019,"129.53","130.15","128.75","129.92","9,628,296"
10/30/2019,"129.69","130.31","129.15","129.60","10,880,050"
10/29/2019,"130.50","130.77","129.44","129.48","9,305,072"
10/28/2019,"131.45","132.08","130.14","130.53","8,940,309"
10/25/2019,"130.50","131.76","130.03","130.90","6,696,035"
10/24/2019,"131.52","131.70","129.63","130.26","6,792,298"
10/23/2019,"132.45","132.68","130.76","131.13","7,075,669"
10/22/2019,"133.15","133.68","132.10","132.40","10,540,840"
10/21/2019,"131.44","131.73","130.02","130.26","7,391,094"
10/18/2019,"132.37","133.16","130.89","130.89","8,695,515"
10/17/2019,"132.53","133.44","130.51","132.37","8,037,035"
10/16/2019,"129.76","131.83","129.70","130.86","7,671,898"
10/15/2019,"130.01","130.89","129.40","129.76","5,937,287"
10/14/2019,"130.13","130.30","129.48","129.70","3,753,018"
10/11/2019,"130.30","130.99","129.59","130.02","6,809,765"
10/10/2019,"129.22","130.14","128.88","129.34","4,581,018"
10/09/2019,"129.10","129.85","128.06","129.33","5,037,437"
10/08/2019,"129.90","130.04","128.37","128.47","6,778,174"
